game,Top_Clusters,Top_Topic_Labels
Eronoctosis: Put Yourself Together,[61],['Adventure games with investigative or snowy themes']
Escape the Backrooms,[56],['Thoughtful single-player puzzle or logic games']
Euro Truck Simulator,[10],['Criticism of abandoned or poorly supported games']
F.E.A.R.,"[14, 56, 63]","['Harsh critique of difficulty or dark themes', 'Thoughtful single-player puzzle or logic games', 'Story-driven mysteries or cinematic adventure games']"
F.E.A.R. 2: Project Origin,"[28, 63, 93]","['Tactical shooter games with base/resource management', 'Story-driven mysteries or cinematic adventure games']"
FTL: Faster Than Light,"[10, 16, 82]","['Criticism of abandoned or poorly supported games', 'Crime and satire themed games']"
Factorio,"[13, 1, 4]","['Sci-fi or space-themed character-driven games', 'Stealth or single-player action games', 'Negative reviews and criticism']"
Faeria,"[6, 31]","['Mixed genre games with exaggerated style or content', 'Over-the-top sports or chaotic party games']"
Fall Guys,"[10, 14, 19]","['Criticism of abandoned or poorly supported games', 'Harsh critique of difficulty or dark themes', 'Boss fights and quirky or controversial moments']"
Fallout 2: A Post Nuclear Role Playing Game,[2],['Non-English reviews (Multilingual content)']
Fallout 4,"[6, 42, 51]","['Mixed genre games with exaggerated style or content', 'Military-themed remakes with mixed mechanics', 'Timed updates and DLC management issues (e.g., Assassin’s Creed)']"
Fallout: A Post Nuclear Role Playing Game,"[19, 59]","['Boss fights and quirky or controversial moments', 'Classic-style horror games with strong fan praise']"
Fallout: New Vegas,"[0, 10, 15]","['Story-driven action games with iconic characters', 'Criticism of abandoned or poorly supported games', 'Slow-paced narrative games or roguelike indie titles']"
Far Cry 3,"[10, 74, 14]","['Criticism of abandoned or poorly supported games', 'Harsh critique of difficulty or dark themes']"
Far Cry® 2,"[38, 39, 66]","['Chaotic or adult-themed parody games', 'Poor content value and repeated criticism of Bethesda', 'Episodic or detective-action games with lacking polish']"
Fights in Tight Spaces,"[12, 6, 34]","['Frustration with basic mechanics and control', 'Mixed genre games with exaggerated style or content', 'Technical issues and game optimization complaints']"
Five Nights at Freddy's 2,[36],['Multiplayer instability and EA-related frustrations']
FlatOut 3: Chaos & Destruction,[82],[]
Flower,[28],['Tactical shooter games with base/resource management']
Frostpunk,"[7, 31, 42]","['Hype for expansions and intense fan reactions', 'Over-the-top sports or chaotic party games', 'Military-themed remakes with mixed mechanics']"
Galactic Civilizations III,"[66, 73]",['Episodic or detective-action games with lacking polish']
Garry's Mod,"[36, 11, 13]","['Multiplayer instability and EA-related frustrations', 'Indie games with artistic or emotional tones', 'Sci-fi or space-themed character-driven games']"
Gears 5,"[7, 8, 30]","['Hype for expansions and intense fan reactions', 'Disappointment with popular titles or sports games', 'Post-apocalyptic survival city-building games']"
Ghostwire: Tokyo,"[61, 77]",['Adventure games with investigative or snowy themes']
God of War,"[8, 1, 17]","['Disappointment with popular titles or sports games', 'Stealth or single-player action games', 'Strongly recommended ARPGs or popular game mechanics']"
Golden Light of Rose,[23],['Tactical turn-based crime or war games']
Gone Home,"[88, 67]",['Surreal or unpredictable indie experiments']
Grand Theft Auto: San Andreas,"[1, 10, 16]","['Stealth or single-player action games', 'Criticism of abandoned or poorly supported games', 'Crime and satire themed games']"
Griftlands,"[12, 63, 87]","['Frustration with basic mechanics and control', 'Story-driven mysteries or cinematic adventure games']"
Guild of Dungeoneering Ultimate Edition,"[12, 62]","['Frustration with basic mechanics and control', 'Mythology-inspired story-based games']"
Gunpoint,[22],['Relaxing and unique games praised by players']
HELLCARD,"[12, 38]","['Frustration with basic mechanics and control', 'Chaotic or adult-themed parody games']"
HELLDIVERS™ 2,"[8, 9, 27]","['Disappointment with popular titles or sports games', 'Low-value free content and monetization critique', 'Deck-building and strategy card games']"
HITMAN World of Assassination,"[3, 35, 58]","['Mixed gameplay experience with confusing mechanics', 'Narrative sci-fi or SCP-themed single-player campaigns', 'Emotional story arcs and character transformation']"
HITMAN™ 2,"[66, 19, 23]","['Episodic or detective-action games with lacking polish', 'Boss fights and quirky or controversial moments', 'Tactical turn-based crime or war games']"
Hades,"[4, 39, 65]","['Negative reviews and criticism', 'Poor content value and repeated criticism of Bethesda', 'Sci-fi battle or containment-themed PvP games']"
Half-Life,"[19, 25, 41]","['Boss fights and quirky or controversial moments', 'Buggy or rushed games with broken mechanics', 'Police/crime/zombie series with repetitive gameplay']"
Half-Life 2,"[1, 2, 27]","['Stealth or single-player action games', 'Non-English reviews (Multilingual content)', 'Deck-building and strategy card games']"
Half-Life 2: Deathmatch,"[47, 56]","['Historically-inspired narrative or adventure games', 'Thoughtful single-player puzzle or logic games']"
Half-Life: Alyx,"[75, 98, 15]",['Slow-paced narrative games or roguelike indie titles']
Half-Life: Blue Shift,"[33, 36, 57]","['Poor network performance and developer criticism', 'Multiplayer instability and EA-related frustrations', 'Games with rich backstories and moral themes (e.g., MGS-style)']"
Half-Life: Opposing Force,"[31, 10, 16]","['Over-the-top sports or chaotic party games', 'Criticism of abandoned or poorly supported games', 'Crime and satire themed games']"
Half-Life: Source,"[56, 57, 75]","['Thoughtful single-player puzzle or logic games', 'Games with rich backstories and moral themes (e.g., MGS-style)']"
Halls of Torment,"[45, 51, 72]","['Stylized browser/mod games with casual mechanics', 'Timed updates and DLC management issues (e.g., Assassin’s Creed)']"
Halo Infinite,"[39, 1, 23]","['Poor content value and repeated criticism of Bethesda', 'Stealth or single-player action games', 'Tactical turn-based crime or war games']"
Halo: The Master Chief Collection,"[45, 28, 31]","['Stylized browser/mod games with casual mechanics', 'Tactical shooter games with base/resource management', 'Over-the-top sports or chaotic party games']"
Hard West,"[95, 99]",[]
Hardspace: Shipbreaker,"[15, 87, 92]",['Slow-paced narrative games or roguelike indie titles']
Hearts of Iron IV,"[3, 11, 15]","['Mixed gameplay experience with confusing mechanics', 'Indie games with artistic or emotional tones', 'Slow-paced narrative games or roguelike indie titles']"
Heat Signature,"[65, 69]","['Sci-fi battle or containment-themed PvP games', 'Episodic war or alternate-history narratives']"
Heroes & Generals,"[16, 17, 73]","['Crime and satire themed games', 'Strongly recommended ARPGs or popular game mechanics']"
Hitman: Absolution™,"[4, 8, 10]","['Negative reviews and criticism', 'Disappointment with popular titles or sports games', 'Criticism of abandoned or poorly supported games']"
Homefront,[82],[]
Homeworld Remastered Collection,[53],['Action-packed arcade or PvP games with chaotic gameplay']
Hotline Miami 2: Wrong Number,"[10, 16, 17]","['Criticism of abandoned or poorly supported games', 'Crime and satire themed games', 'Strongly recommended ARPGs or popular game mechanics']"
Human Fall Flat,"[0, 8, 16]","['Story-driven action games with iconic characters', 'Disappointment with popular titles or sports games', 'Crime and satire themed games']"
Hyper Light Drifter,[61],['Adventure games with investigative or snowy themes']
I MAED A GAM3 W1TH Z0MB1ES 1N IT!!!1,[48],['Vampire or assassin-themed games with dramatic tone']
ISLANDERS,"[13, 16, 42]","['Sci-fi or space-themed character-driven games', 'Crime and satire themed games', 'Military-themed remakes with mixed mechanics']"
Imperator: Rome,"[5, 30, 66]","['Underrated narrative games with emotional elements', 'Post-apocalyptic survival city-building games', 'Episodic or detective-action games with lacking polish']"
Injustice: Gods Among Us Ultimate Edition,[96],[]
Inscryption,"[1, 22, 34]","['Stealth or single-player action games', 'Relaxing and unique games praised by players', 'Technical issues and game optimization complaints']"
Insurgency,"[8, 16, 47]","['Disappointment with popular titles or sports games', 'Crime and satire themed games', 'Historically-inspired narrative or adventure games']"
Insurgency: Sandstorm,"[0, 10, 20]","['Story-driven action games with iconic characters', 'Criticism of abandoned or poorly supported games', 'Games reflecting real-world issues or modern society']"
Ion Fury,[95],[]
Iron Danger,[96],[]
Ironsight,[13],['Sci-fi or space-themed character-driven games']
Jagged Alliance 3,"[4, 65]","['Negative reviews and criticism', 'Sci-fi battle or containment-themed PvP games']"
Jalopy,"[30, 44, 78]","['Post-apocalyptic survival city-building games', 'Historical war campaigns with strategic flaws']"
Just Cause 2,"[8, 15, 16]","['Disappointment with popular titles or sports games', 'Slow-paced narrative games or roguelike indie titles', 'Crime and satire themed games']"
Just Cause™ 3,"[2, 15, 28]","['Non-English reviews (Multilingual content)', 'Slow-paced narrative games or roguelike indie titles', 'Tactical shooter games with base/resource management']"
KARDS - The WW2 Card Game,"[12, 20]","['Frustration with basic mechanics and control', 'Games reflecting real-world issues or modern society']"
Kane & Lynch 2: Dog Days,"[10, 12, 15]","['Criticism of abandoned or poorly supported games', 'Frustration with basic mechanics and control', 'Slow-paced narrative games or roguelike indie titles']"
Kerbal Space Program,[91],[]
Killing Floor 2,"[10, 18, 33]","['Criticism of abandoned or poorly supported games', 'Fun casual games with unexpected mechanics', 'Poor network performance and developer criticism']"
King Arthur: Knight's Tale,[11],['Indie games with artistic or emotional tones']
Kingdom: Classic,"[8, 14]","['Disappointment with popular titles or sports games', 'Harsh critique of difficulty or dark themes']"
L.A. Noire,"[63, 4, 10]","['Story-driven mysteries or cinematic adventure games', 'Negative reviews and criticism', 'Criticism of abandoned or poorly supported games']"
LEWDAPOCALYPSE Hentai Evil,"[44, 69, 77]","['Historical war campaigns with strategic flaws', 'Episodic war or alternate-history narratives']"
Labyrinth: The War on Terror,"[37, 59]","['Frequent updates with questionable balance or changes', 'Classic-style horror games with strong fan praise']"
Lara Croft GO,[7],['Hype for expansions and intense fan reactions']
Left 4 Dead 2,"[8, 13, 27]","['Disappointment with popular titles or sports games', 'Sci-fi or space-themed character-driven games', 'Deck-building and strategy card games']"
Lethal Company,"[28, 8, 13]","['Tactical shooter games with base/resource management', 'Disappointment with popular titles or sports games', 'Sci-fi or space-themed character-driven games']"
Little Nightmares,"[57, 8, 18]","['Games with rich backstories and moral themes (e.g., MGS-style)', 'Disappointment with popular titles or sports games', 'Fun casual games with unexpected mechanics']"
METAL GEAR SOLID V: GROUND ZEROES,"[61, 93, 37]","['Adventure games with investigative or snowy themes', 'Frequent updates with questionable balance or changes']"
METAL GEAR SOLID V: THE PHANTOM PAIN,"[17, 1, 14]","['Strongly recommended ARPGs or popular game mechanics', 'Stealth or single-player action games', 'Harsh critique of difficulty or dark themes']"
Mafia,[69],['Episodic war or alternate-history narratives']
Mafia II: Definitive Edition,"[2, 19, 63]","['Non-English reviews (Multilingual content)', 'Boss fights and quirky or controversial moments', 'Story-driven mysteries or cinematic adventure games']"
Mafia III: Definitive Edition,"[16, 50, 59]","['Crime and satire themed games', 'Stylized horror games by known indie studios (e.g., Klei)', 'Classic-style horror games with strong fan praise']"
Magic Duels,"[6, 75]",['Mixed genre games with exaggerated style or content']
Magicka,"[54, 75]",['Puzzle-platformers or runner games']
Mainframe Defenders,[39],['Poor content value and repeated criticism of Bethesda']
Manhunt,"[79, 25, 28]","['Buggy or rushed games with broken mechanics', 'Tactical shooter games with base/resource management']"
Marvel's Guardians of the Galaxy,"[6, 62]","['Mixed genre games with exaggerated style or content', 'Mythology-inspired story-based games']"
Marvel's Guardians of the Galaxy: The Telltale Series,[73],[]
Marvel's Midnight Suns,"[6, 12]","['Mixed genre games with exaggerated style or content', 'Frustration with basic mechanics and control']"
Marvel’s Spider-Man: Miles Morales,"[4, 17]","['Negative reviews and criticism', 'Strongly recommended ARPGs or popular game mechanics']"
Max Payne 2: The Fall of Max Payne,"[9, 40, 46]","['Low-value free content and monetization critique', 'Console version issues and management decisions', 'Campy or frustrating horror games']"
Max Payne 3,"[66, 4, 11]","['Episodic or detective-action games with lacking polish', 'Negative reviews and criticism', 'Indie games with artistic or emotional tones']"
McPixel 3,[72],[]
Mech Armada,[39],['Poor content value and repeated criticism of Bethesda']
Men of War: Assault Squad 2,"[0, 23, 66]","['Story-driven action games with iconic characters', 'Tactical turn-based crime or war games', 'Episodic or detective-action games with lacking polish']"
Middle-earth™: Shadow of War™,"[8, 11, 23]","['Disappointment with popular titles or sports games', 'Indie games with artistic or emotional tones', 'Tactical turn-based crime or war games']"
Minion Masters,"[6, 17, 38]","['Mixed genre games with exaggerated style or content', 'Strongly recommended ARPGs or popular game mechanics', 'Chaotic or adult-themed parody games']"
Monster Train,"[12, 3, 6]","['Frustration with basic mechanics and control', 'Mixed gameplay experience with confusing mechanics', 'Mixed genre games with exaggerated style or content']"
Morphopolis,[69],['Episodic war or alternate-history narratives']
Mortal Kombat Komplete Edition,"[22, 97]",['Relaxing and unique games praised by players']
Mortal Kombat X,"[22, 91, 96]",['Relaxing and unique games praised by players']
Mount & Blade: Warband,"[0, 8, 10]","['Story-driven action games with iconic characters', 'Disappointment with popular titles or sports games', 'Criticism of abandoned or poorly supported games']"
Munin,[87],[]
Muse Dash,"[10, 27, 96]","['Criticism of abandoned or poorly supported games', 'Deck-building and strategy card games']"
Mutant Year Zero: Road to Eden,"[64, 86]",['Western-themed or poorly paced narrative games']
My Friend Pedro,"[8, 10, 21]","['Disappointment with popular titles or sports games', 'Criticism of abandoned or poorly supported games', 'Strategy or RPG games with rich lore']"
My Summer Car,[13],['Sci-fi or space-themed character-driven games']
Mythgard,[6],['Mixed genre games with exaggerated style or content']
NEO Scavenger,"[34, 88]",['Technical issues and game optimization complaints']
Nearwood - Collector's Edition,[35],['Narrative sci-fi or SCP-themed single-player campaigns']
