Game,Dominant_Topic,Similarity_Score
Call of Duty®: Black Ops,0,0.1516600556228404
Call of Duty®: Modern Warfare® 2 (2009),0,0.19269125401541265
Call of Duty®: WWII,0,0.2487229108780394
Call of Juarez: Bound in Blood,0,0.37183924558499315
Call of Juarez: Gunslinger,0,0.4472932571616812
Call to Arms,0,0.0849512095713041
Cardboard Town,0,0.1419780566742827
Celeste,0,0.2200776414891821
Chained Together,6,0.0578293499223246
Charlie Murder,1,0.2751764851686964
Chicory: A Colorful Tale,1,0.11234277891542771
Children of Morta,0,0.2524969701734818
Circadian Dice,1,0.11119195347841102
Cities: Skylines,0,0.23869688362847413
Colin McRae Rally,1,0.2073730419566257
Company of Heroes 2,1,0.34424942921220353
Company of Heroes: Tales of Valor,2,0.15491521104763561
Conan Exiles,0,0.2008457913372894
Content Warning,1,0.38363435490126263
Control Ultimate Edition,0,0.3721511930337777
Convoy,0,0.08768681980142447
Coral Island,0,0.08428263461046562
Counter-Strike 2,0,0.18741179181368267
Counter-Strike: Source,0,0.2140531960707935
Crawl,1,0.11432815720564084
Cruelty Squad,0,0.11121952721529235
Crying Suns,0,0.17150951036150983
Crysis 3 Remastered,0,0.13752773629522558
Crysis Remastered,2,0.2695411676372489
Cult of the Lamb,5,0.010159544869449161
Cyberpunk 2077,1,0.43632761130055653
D&D Lords of Waterdeep,2,0.3171165371527329
DARK SOULS™ II: Scholar of the First Sin,0,0.23873363630542682
DARK SOULS™ III,0,0.10714676885281267
DEATHLOOP,0,0.3713072336537423
DESOLATE,2,0.291077322039079
DOOM,1,0.16590382783400867
DOOM 3,0,0.29982396922949567
DOOM Eternal,0,0.3254487265889674
DPS IDLE,2,0.213190614456405
Dagon: by H. P. Lovecraft,0,0.2216275624410125
Dark Messiah of Might & Magic,0,0.3194818423929904
Darksiders Warmastered Edition,2,0.3249853465497909
Day of Defeat,0,0.19431434016858148
Days Gone,2,0.3826165833386301
Dead Cells,0,0.19842491990544364
Dead Island: Epidemic,2,0.20611021211700917
Dead Rising 2: Off the Record,0,0.1771202432669179
Dead Rising 3 Apocalypse Edition,5,0.2810237034128105
Dead Rising 4,0,0.33191686611898513
Dead by Daylight,0,0.2851646109604101
Deathstate: Abyssal Edition,0,0.13754360455586231
Deponia Doomsday,2,0.2136977773788299
Depression Quest,2,0.14860279842305488
Desktop Dungeons,0,0.16335959298265734
Destination Primus Vita - Ep. 1,2,0.2132389974472403
Destiny 2,0,0.26304011851027503
Deus Ex: Game of the Year Edition,9,0.05992996822422368
Deus Ex: Revision,0,0.0
Devil May Cry 5,0,0.2595970280234054
DiRT 4,0,0.19431434016858148
DiRT Rally,0,0.2392256351892823
Die in the Dungeon: Origins,0,0.05325383733705391
Dinkum,7,0.13754360455586226
Dino D-Day,6,0.16836842163679847
Dirty Bomb®,0,0.0
Dishonored®: Death of the Outsider™,1,0.21706299706414017
Divinity II: Developer's Cut,2,0.1481151574687805
Divinity: Original Sin - Enhanced Edition,2,0.15212578570373947
Do Not Feed the Monkeys,0,0.2129877289893959
Doki Doki Literature Club!,7,0.2608696944749416
Dorfromantik,0,0.24718481334341982
Dragon's Dogma: Dark Arisen,2,0.2288734204826251
Duelyst,2,0.11246340189759128
Dungeon of the ENDLESS™,0,0.3618132691705793
Dwarf Fortress,0,0.09009690756912404
Dying Light 2 Stay Human: Reloaded Edition,1,0.45647082944513334
Dyson Sphere Program,1,0.07734781234369074
ENDLESS™ Legend,1,0.40563008578186477
Eco,0,0.10371551133313006
Endzone - A World Apart,0,0.18310897252316305
Entropy : Zero 2,0,0.2895540817523426
Eronoctosis: Put Yourself Together,0,0.0
Escape the Backrooms,0,0.09268496162299236
Euro Truck Simulator,0,0.06437099366532754
F.E.A.R.,0,0.35530890352075883
F.E.A.R. 2: Project Origin,1,0.2267072486086475
FTL: Faster Than Light,4,0.20240746851455316
Factorio,1,0.24543035634883498
Faeria,2,0.26061770735783235
Fall Guys,1,0.267277383478399
Fallout 2: A Post Nuclear Role Playing Game,0,0.2515191369460238
Fallout 4,0,0.3402117777787522
Fallout: A Post Nuclear Role Playing Game,0,0.2793761741071086
Fallout: New Vegas,0,0.2858578732268437
Far Cry 3,0,0.3578328486725396
Far Cry® 2,2,0.3308036394738299
Fights in Tight Spaces,2,0.17990661477676442
Five Nights at Freddy's 2,0,0.19431434016858148
FlatOut 3: Chaos & Destruction,1,0.10658510262542636
Flower,3,0.22422001341745912
Frostpunk,0,0.21190810094459514
Frozen Synapse,1,0.25304154949785607
Galactic Civilizations III,1,0.15384416549966506
Garry's Mod,0,0.19788788733971646
Gears 5,2,0.23448502663046755
Ghostwire: Tokyo,1,0.10526285178912298
God of War,0,0.32554324731365586
Golden Light of Rose,5,0.10371551133313006
Gone Home,1,0.36759008502106794
Grand Theft Auto: San Andreas,1,0.18368418881961562
Griftlands,2,0.23283215201044152
Guild of Dungeoneering Ultimate Edition,1,0.08544291539625326
Gunpoint,9,0.08176804146599938
HELLCARD,2,0.18287879141603985
HELLDIVERS™ 2,1,0.29195406470399266
HITMAN World of Assassination,1,0.2865421406719927
HITMAN™ 2,0,0.2478428391601727
Hades,0,0.44274749816712333
Half-Life,0,0.30138743405004553
Half-Life 2,0,0.30723400478836443
Half-Life 2: Deathmatch,0,0.23794411161289164
Half-Life: Alyx,0,0.3057433014100633
Half-Life: Blue Shift,0,0.12659039320023624
Half-Life: Opposing Force,1,0.1726218969881371
Half-Life: Source,6,0.1170226547745433
Halls of Torment,0,0.2355536231974797
Halo Infinite,0,0.29996523940457176
Halo: The Master Chief Collection,0,0.43198693520516845
Hard West,0,0.16799633979973133
Hardspace: Shipbreaker,0,0.3554591259198999
Hearts of Iron IV,1,0.35096768850851306
Heat Signature,1,0.14582749622148922
Heroes & Generals,1,0.1713674922466456
Hitman: Absolution™,0,0.37572215384034086
Homefront,5,0.13109295424512846
Homeworld Remastered Collection,10,0.05992996822422367
Hotline Miami 2: Wrong Number,1,0.34964467029071955
Human Fall Flat,0,0.332893029243209
Hyper Light Drifter,1,0.11234277891542774
I MAED A GAM3 W1TH Z0MB1ES 1N IT!!!1,1,0.08768681980142447
ICY: Frostbite Edition,0,0.2336670375769201
ISLANDERS,1,0.2906399893716327
Imperator: Rome,2,0.16473029083763002
Injustice: Gods Among Us Ultimate Edition,0,0.23429899711971378
Inscryption,0,0.2962064274663738
Insurgency,0,0.2382063635381931
Insurgency: Sandstorm,0,0.26070481128552214
Ion Fury,0,0.37925058667200356
Iron Danger,2,0.03316782619426706
Ironsight,0,0.13378509294631244
Jagged Alliance 3,1,0.22269301844053682
Jalopy,0,0.11671662737100331
Just Cause 2,0,0.37742512354449925
Just Cause™ 3,4,0.115988853306413
KARDS - The WW2 Card Game,2,0.33595174964599994
Kane & Lynch 2: Dog Days,2,0.3155378850177787
Kerbal Space Program,1,0.21426202276368939
Killing Floor 2,1,0.20149117122561475
King Arthur: Knight's Tale,4,0.16836842163679844
Kingdom: Classic,0,0.23773923857522397
L.A. Noire,0,0.3283672389038994
LEWDAPOCALYPSE Hentai Evil,0,0.1445489848722386
Labyrinth: The War on Terror,4,0.18434276908963926
Lara Croft GO,1,0.21370652900630546
Left 4 Dead 2,4,0.155028508328559
Lethal Company,1,0.2662946746323371
Little Nightmares,0,0.34858642841024823
METAL GEAR SOLID V: GROUND ZEROES,0,0.33624377219587304
METAL GEAR SOLID V: THE PHANTOM PAIN,0,0.26510768137819307
Mafia,0,0.050656087645095244
Mafia II: Definitive Edition,0,0.3338624274273304
Mafia III: Definitive Edition,0,0.34096202603496334
Magic Duels,2,0.33188216307812823
Magicka,7,0.16782619495336368
Mainframe Defenders,0,0.12543104740130234
Manhunt,1,0.20639588731672512
Marvel's Guardians of the Galaxy,1,0.2617742714109331
Marvel's Guardians of the Galaxy: The Telltale Series,1,0.05782816189946814
Marvel's Midnight Suns,0,0.2979031080539686
Marvel’s Spider-Man: Miles Morales,0,0.3070298045756693
Max Payne 2: The Fall of Max Payne,0,0.40435823045790825
Max Payne 3,0,0.33414375705928445
McPixel 3,0,0.25522961667549454
Mech Armada,1,0.15262505704597537
Men of War: Assault Squad 2,0,0.10665163710606614
Middle-earth™: Shadow of War™,0,0.3206911951383363
Minion Masters,2,0.30098413837409166
Monster Train,1,0.4195571215755644
Morphopolis,0,0.1345316598713417
Mortal Kombat Komplete Edition,0,0.17343119075375998
Mortal Kombat X,0,0.15447081926022338
Mount & Blade: Warband,0,0.2795903450392943
Munin,1,0.2562252462955682
Muse Dash,0,0.22305572629539458
Mushroom 11,0,0.04467742044818328
Mutant Year Zero: Road to Eden,2,0.33009652371479054
My Friend Pedro,2,0.24933719784744612
My Summer Car,0,0.06437099366532754
Mythgard,2,0.17553105768575464
NEO Scavenger,1,0.07030492086459503
Nearwood - Collector's Edition,0,0.12847219683072353
Never Alone (Kisima Ingitchuna),1,0.2505703986963878
NieR:Automata™,2,0.27272930675013723
No Man's Sky,1,0.2595321775020559
Nova Blitz,9,0.10163066979112653
ORION: Prelude,2,0.15064018498706508
Obsidian Prince,0,0.07734781234369076
Once Human,1,0.23022916538279514
One Finger Death Punch,0,0.2378288593989651
Orbt XL,0,0.0
Order of Battle: World War II,1,0.1816641870011237
Ortus Regni,2,0.21558777108209684
Orwell: Keeping an Eye On You,1,0.23952617488960007
Overwatch® 2,10,0.10371551133313006
PUBG: BATTLEGROUNDS,6,0.23214050879649634
PWND,0,0.1843553632071337
Path of Exile,2,0.18704760236194595
Penumbra Overture,0,0.2123941531392322
People Playground,1,0.19036201801314848
Phasmophobia,4,0.15352923010991182
Pikuniku,0,0.1506401849870651
Pillars of Eternity,2,0.3804815603002184
"Planes, Bullets and Vodka",0,0.07734781234369076
PlanetSide 2,1,0.3363185520341847
Pony Island,1,0.3592481937917725
Portal,0,0.2462938211998121
Predynastic Egypt,0,0.1947209130052855
Project Warlock,2,0.32697176586017945
Quake Champions,2,0.3302665831310248
RIOT: Civil Unrest,0,0.06882542958855788
Raft,8,0.2166797999953566
Ravenfield: Multiplayer Mod,0,0.335175743327926
Rebel Cops,0,0.3047590103874639
Red Dead Redemption 2,0,0.42635742891100353
Red Faction Guerrilla Re-Mars-tered,0,0.10163066979112656
Resident Evil 5,1,0.26334605398703664
Resident Evil 7 Biohazard,1,0.29983209528411825
Resident Evil Village,0,0.45621420723570094
Return of the Obra Dinn,0,0.189242951943942
Return to Castle Wolfenstein,7,0.13378509294631244
Reus,4,0.24478531173455215
Reventure,9,0.18099366192296354
Risk of Rain 2,0,0.281952382452302
Rogue Empire: Dungeon Crawler RPG,0,0.044677420448183285
Roll Player - The Board Game,2,0.19431434016858148
Runestone Keeper,2,0.16865689277472462
Rusty Lake Hotel,9,0.12102629123607173
SCP: Secret Laboratory,0,0.27839714235797025
SMITE®,0,0.10902458746128142
SOVL: Fantasy Warfare,0,0.0
STALCRAFT: X,0,0.13656182108090956
SUPERHOT,0,0.2903408374311256
SYNTHETIK: Arena,0,0.06437099366532754
Saints Row 2,1,0.3413615694204638
Saints Row IV: Re-Elected,1,0.38848635027438694
Saints Row: The Third,0,0.363845672022086
Sekiro™: Shadows Die Twice - GOTY Edition,1,0.2502854476346088
Serious Sam 3: BFE,0,0.13208865781909152
Shadow Tactics: Blades of the Shogun,0,0.24981294818980668
Shadow Warrior 2,4,0.2751764851686964
Shantae: Risky's Revenge - Director's Cut,0,0.16836842163679847
Shards of Azuria,2,0.22134856427567495
Shatterline,2,0.20955181308887694
Sherlock Holmes: Crimes and Punishments,0,0.3308365524288372
Sid Meier's Civilization® V,0,0.149874116110823
Sid Meier's Starships,2,0.2031856598233146
Skullgirls 2nd Encore,1,0.12458152072563702
Sleeping Dogs,0,0.04642927873353421
Sniper Elite 3,0,0.18967168545944982
Sniper Elite 4,0,0.2201108614488597
Solar Settlers,2,0.23883866684305266
Sorcery! Parts 1 and 2,0,0.24534357134024182
Space Hulk: Deathwing Enhanced Edition,0,0.19532862225777745
Spec Ops: The Line,0,0.2097171756731986
SpellForce 3 Reforced,0,0.21129075664417965
Spooky's Jump Scare Mansion,7,0.1375436045558623
Squad,5,0.26148799301619674
Star Conflict,1,0.06084419461681215
State of Decay,2,0.2521394382287605
Stray,2,0.1020914312655498
Street Fighter V,1,0.15740003197939337
Stronghold Crusader 2,1,0.21685777083286328
Subnautica: Below Zero,0,0.15307866837352854
Suicide Squad: Kill the Justice League,0,0.10163066979112656
Supermarket Together,0,0.15588259264938936
Surviving Mars,1,0.3300657489130328
Surviving the Aftermath,1,0.29632696786219626
THE FINALS,0,0.09919263652880699
Tactical Assault VR,0,0.17807793507622258
Tainted Grail: Conquest,2,0.20208347077804167
Tales from the Borderlands,0,0.410643867735665
Terraria,9,0.21534993212147716
The Age of Decadence,0,0.19703171171758393
The Ascent,0,0.29560960395005603
The Callisto Protocol™,2,0.3216950971943855
The Council,2,0.24422643580849954
The Crew™ 2,5,0.1869539900951975
The Darkness II,2,0.13451145055314273
The Deadly Tower of Monsters,2,0.16551238557406814
The Flame in the Flood,0,0.2985302149421227
The Forgotten City,1,0.3113232923855118
The Invincible,0,0.09808096601473594
The Lab,0,0.07734781234369076
The Lord of the Rings: Journeys in Middle-earth,0,0.06997254341808111
The Outlast Trials,1,0.153292036776699
The Raven - Legacy of a Master Thief,0,0.19627878943766663
The Room Two,0,0.07980011014729993
The Signal From Tölva,0,0.12696665208004873
The Spell Brigade,5,0.14779222008898127
The Swords of Ditto: Mormo's Curse,1,0.2197375669544927
The Tiny Bang Story,0,0.0
The Turing Test,1,0.26748857470383763
The Vanishing of Ethan Carter,1,0.31650729721040277
The Witcher 3: Wild Hunt,2,0.34754314155241195
The Witcher: Enhanced Edition Director's Cut,2,0.288866830327896
The Witness,0,0.20462777321713352
The Wolf Among Us,0,0.3807602604764356
This Is the Police,0,0.0
This War of Mine,0,0.31957559555799386
Titanfall® 2,1,0.29147124233607696
Tom Clancy's Ghost Recon® Wildlands,0,0.3051722477855595
Tom Clancy's Rainbow Six® Vegas,1,0.19089017792143764
Tomb Raider,0,0.35463950320603754
Tomb Raider: Legend,0,0.2594660245454755
Total War: ATTILA,0,0.05325383733705391
Total War: ROME II - Emperor Edition,1,0.1307552569054266
Totally Accurate Battlegrounds,0,0.15240639342396808
Transmissions: Element 120,0,0.12389761953733382
Tribes of Midgard,0,0.0
Tribes: Ascend,1,0.114873111307046
Turbo Dismount™,6,0.14150621774142863
Unrailed!,4,0.2376573239628769
Untitled Goose Game,0,0.2506144878743426
Unturned,0,0.20690585503466957
VA-11 Hall-A: Cyberpunk Bartender Action,2,0.36462777731448254
Vampire: The Masquerade - Bloodhunt,0,0.1375436045558623
Vampire: The Masquerade - Bloodlines,0,0.3460193558356456
Vampire: The Masquerade - Coteries of New York,0,0.18414951115154302
Viscera Cleanup Detail,1,0.28850419296316926
Viscera Cleanup Detail: Shadow Warrior,0,0.0
Waking Mars,0,0.16773584107077474
Wallpaper Engine,0,0.06519349565389239
War Thunder,6,0.18077380150303834
Warframe,2,0.2386815998460556
"Warhammer 40,000: Dawn of War II - Anniversary Edition",1,0.12709854677447951
"Warhammer 40,000: Dawn of War II: Retribution",0,0.05629715757507138
"Warhammer 40,000: Gladius - Relics of War",2,0.26040987446497377
"Warhammer 40,000: Space Marine 2",2,0.3562782946852131
Warhammer: Vermintide 2,1,0.1563535995163521
Webbed,1,0.2310305006217084
Wolfenstein II: The New Colossus,2,0.28394174082210316
Wolfenstein: The Old Blood,0,0.24523951180036854
Worms W.M.D,4,0.2045528246615966
XCOM: Enemy Unknown,2,0.21404572268936412
Yakuza 3 Remastered,5,0.10163066979112653
Yakuza 4 Remastered,0,0.16836842163679847
Yakuza Kiwami 2,2,0.29333100980401905
Yu-Gi-Oh! Master Duel,0,0.059608445573809975
Zoeti,0,0.192454882426361
Zombie Army Trilogy,4,0.23537048232236973
Zombie Driver HD,6,0.18976728433844917
Zup! Z,3,0.07734781234369076
eFootball PES 2021 SEASON UPDATE,6,0.3694556621298621
eFootball™,5,0.0973085560939225
eversion,1,0.15459616067305434
