Game,cleaned_Reviews,num_words,review_length,embedding_0,UMAP_1,UMAP_2,lang,topic
INSIDE,great creepy bizarre game although price little bit much consider short,11,71,-0.03610653,7.1229205,3.377212,en,0
Max Payne 3,really different first two necessarily bad way glitch long loading time flashing cutscene give I headache actionpacked game old max payne poetry charm shooting simple meaningful fun especially game hit good music story average satisfy enough really cool moment,39,260,-0.061341446,7.1095204,0.6790364,en,0
Battlefield™ 1,great graphic visual glitch game run pretty well campaign great short multiplayer hell ride,14,91,0.035678457,8.607231,1.9584048,en,0
BioShock Infinite,emotional wellwritten interesting plot good story bioshock franchise downloadable content great tie whole series together,15,121,-0.04631799,7.3347707,2.000461,en,0
BioShock™ Remastered,old game still hold every aspect even well new one,10,50,0.048214618,8.84576,2.010962,en,0
Assassin’s Creed® IV Black Flag™,favorite ac game version barely run kinda ruin whole experience,10,63,-0.023621513,6.211724,-1.708403,en,9
Diablo® IV,game dope sale I would buy full price tho,9,41,-0.088210404,11.102561,2.3684766,en,0
DUSK,game one good first person shooter I ever play,9,46,-0.007464616,9.03784,2.6191978,en,0
Max Payne 3,really fun satisfy shoot downside many cutscene although writing performance great lack exploration,13,99,-0.03484947,7.152293,0.9990203,en,0
Overgrowth,game actually goodunlike game animation goodand download mod make game even well,12,80,-0.104715034,9.3806925,1.694594,en,0
The Precinct,great game still need alot work play like early access title devs active fix promptly,15,85,-0.059550196,10.163687,1.0092553,en,0
Liar's Bar,new update host game sec match server end host migration never complete start promise poker month ago,17,101,-0.020850828,10.731934,1.0228627,en,1
LOCKDOWN Protocol,admin log info see really dissident people kill really dissident play also weapon case system annoying case scam empty one contain weapon fan,23,141,0.0020048555,10.668995,0.9485961,en,0
DAVIGO: VR vs. PC,great concept unity make map,5,28,-0.0064225565,9.183605,0.16558626,en,0
Blade and Sorcery,great game complete realize havnt great mod make game quite replayable,11,70,-0.09556459,9.712753,1.6692841,en,0
Men of War: Assault Squad 2,airborne downloadable content fun ai skirm also large modding community workshop support,12,88,-0.07863878,5.479031,0.028257603,en,0
Darkwood,ambiance terrify soldier environment welcome psycho,6,51,0.021532532,7.8597045,-1.3303156,en,4
HARD BULLET,still need alot optimization great concept fun gameplay expect early access bug many worth buy amount update content push physics system bullet time get alot smoother sleeper,27,174,-0.074593134,10.097822,0.67625487,en,0
Blood Trail,everybody tough guy I tell try bloodtrail vr,8,44,-0.059693888,12.556347,0.55660456,en,0
HELLDIVERS™ 2,mandatory psn account ban game country bunch hoe,8,48,-0.052950144,10.39083,1.305359,en,0
Dune: Spice Wars,fantastic game riddle crash freeze,5,34,0.03816352,11.728529,0.719544,en,1
THE FINALS,even start stay black screen use cpu,7,36,0.029203663,11.536013,0.670257,en,1
Shadows of Doubt,great early access game dev decide release bug unfinished feature never get archive feature case story mp workshop support poorly optimize happen,22,145,0.044760652,10.165547,0.83333045,en,0
Basement,terrible game poorly balance cluster unorganized game mechanic,8,62,0.0071297935,10.035713,0.12327591,en,0
Ready or Not,game freeze couple min mission remain unplayable month hog system memory devs release fix wanna test without new downloadable content release also supporter play alpha I support I pay game wish I could unsupport get money back,37,226,0.0073606144,10.930983,0.827208,en,1
Reassembly,one favorite game play high easy get lose visual soundtrack,10,59,-0.0041447673,6.1759343,2.239734,en,0
Aimlabs,terrible screen tear vsync option update still vsync take min open application freeze fresh install,15,99,0.0020159641,11.33948,0.5058667,en,1
Mass Effect™: Andromeda Deluxe Edition,allow access online feature game tech support tell I nothing refuse refund I typical ea avoid cost play,18,103,-0.059348032,10.984397,1.3725365,en,0
Timberborn,peaceful little worry mother nature I would like see social dynamic possibly war,13,80,0.012318927,8.649668,3.6464937,en,0
MORDHAU,wanna archer balance fun refund soon,6,36,-0.082615465,11.125275,1.7946944,en,0
Splitgate,far many bot public match feel like eomm I go round bomb I get double kill back bot outskille marketing loop get people hook pay wait halo infinite,28,147,-0.0057826503,10.302591,0.8363336,en,0
Grand Theft Auto IV: The Complete Edition,unplayable I brucie mission steal lyle car drop I leave garage cinematic play forever I walk aimlessly garage door,19,114,-0.03355302,6.381025,2.14867,en,0
Halo: The Master Chief Collection,unable play game week server region incorrect I interest play halo online story course I force stable connection spy I buy refund repurchase I head issue fix I alttab game disappear continue play audio microsoft game many issue microsoft operating system,41,254,0.11704744,11.47179,1.1489004,en,1
Barotrauma,atmospheric brutal bring friend experience way die undersea,8,59,-0.05066586,6.9214096,3.0207236,en,0
Red Dead Redemption 2,yee haw quite like game masterpiece online gta alot work go anticheat overall gameplay,14,86,-0.07898896,7.5232534,4.9224076,en,0
BeamNG.drive,nothing give satisfaction destruction like game play nothing like,9,65,0.004979703,9.72543,2.7271137,en,0
Squad,audio issue year ago fix I wish I could get money back,12,54,-0.029572612,11.382436,1.6543955,en,7
Mass Effect™ Legendary Edition,leave positive review I see mistake buy steam origin launch think I buy steam origin origin,16,91,-0.04553552,6.2205844,-0.59251976,en,0
Raft,great game would give positive review support k least k k support even k pathetic go play like break ass simp refunded,22,118,-0.08743184,6.224043,-0.58366275,en,0
Heroes & Generals,go give star review free start membership expire I lose boost equipment slot badge slot another game push push hard get money pathetic,23,134,-0.09492504,6.2185884,-0.5600902,en,0
Max Payne 3,good story drive frame per second game history I replay awesome intense story time completion game reference history museum year come,21,133,0.012688773,7.3770413,2.1827104,en,0
Apex Legends™,hour initial release since season matchmaking appal look eomm every new season new issue new bug crash fix new hacker every season pay hack system plenty frame per second option choose otherwise dishead advice,34,209,-0.0007222895,10.671633,0.86501765,en,1
Due Process,crash crash andddd crash oh bsod play time seem like update break game loading every match anywhere second min team get set amount weapon ammo share everybody like one gun fight first come first serve rarely anybody share weapon poorly balance high spread,43,255,0.022023851,11.324645,0.62330914,en,1
Assassin's Creed® Odyssey,way demand frame per second medium setting overclocked ik evga bg ram I another launcher computer stand ubisofts garbage launcher,20,129,-0.012824823,11.230414,0.69375354,en,1
Stellaris,fantastic game downloadable content annoyingly intrusive countless replay value must I make feel like role want pursue dig shoe downloadable content real,22,153,-0.07802981,5.704714,0.014554081,en,0
Grounded,enough content yet consider properly price great promise stunning visual,10,72,-0.028656201,6.2197285,0.6626321,en,14
Outward Definitive Edition,world bare fill meaningless terrain map ugly little large map size leave starting area I uninstalle game pathetic,18,113,0.07125052,9.163682,0.29331926,en,0
Grand Theft Auto V Legacy,great singleplayer game terrible online one unless use rd party mod full hacker,13,79,-0.026931193,10.736192,1.1243811,en,0
Kenshi,game library forever I want nice rt adventure one day remember game short back I give chance time let depth amount time I drop game unreal I still know portion crust kenshi,32,172,-0.06669581,8.109415,0.99199307,en,0
Crusader Kings III,create character delve meat game one large assortment opportunity growth potential I hope reasonably price downloadable content open many door game need open time tell heir decide,27,179,-0.036762305,7.918148,0.63412803,en,0
CARRION,game map map small keep track ability cluster big nightmare fun,11,63,0.09726612,9.337651,0.2210803,en,0
RimWorld - Royalty,enough content justify greedy price tag content less large free workshop mod show profit quality content downloadable content add race biome planet ship vehicle animal multiplayer feature list minuscule compare,30,210,-0.003029722,5.5038505,0.15618245,en,0
Last Oasis,upcoming clan affair leave oasis kick,6,37,0.0072880476,9.382364,3.137324,en,0
Stormworks: Build and Rescue,polished responsive relax zone ease mind start repetitive task mostly unrestricted mean creativity fly hover submerge drown sink large massive rocket forget pubis enjoy kid,25,172,0.050227776,8.615081,-0.6905428,en,0
Arma 3,pay wall large great wall china pathetic game unless get fish content could get free workshop pathetic,17,102,-0.047613338,9.208671,0.31322962,en,0
Valiant Hearts: The Great War™ / Soldats Inconnus : Mémoires de la Grande Guerre™,game stop work let I move sometimes hope refund,9,47,-0.052611355,11.168422,1.3286915,en,0
Destroy All Humans!,sir private would like inform fire permission extinguish,8,56,-0.01989372,8.948683,4.3096266,en,7
Pineapple on pizza,feel emotion beyond human comprehencion,5,39,0.04903914,9.576718,4.115429,en,4
Clawfish,game glitche I go title screen try fix apparently restart whole game without warning I start beginning,17,102,0.040449798,11.410917,0.66452116,en,1
Assemble with Care,assemble anger forget screw one screw inside take whole thing apart,11,67,-0.010047071,9.276011,4.4127865,en,2
TOEM: A Photo Adventure,I still feel bad make employee month guy sad,9,44,0.019450033,10.690453,3.3511548,en,4
IS Defense,I think isis great I say please let child go nothing,11,52,0.00036705122,8.989108,3.8414807,en,2
Lawn Mowing Simulator,I prefer play sex hitler,5,24,-0.025800675,9.091667,3.6136544,en,19
Blue Estate The Game,I want say ign reviewer give game retarded,8,42,-0.07402917,6.1899347,-0.60969687,en,0
Wolfenstein: The New Order,final boss fight mother bullet sponge bad game design rest game fire,12,68,0.042175606,8.354686,3.532713,en,0
The Witness,I hate game everything stand,5,28,-0.011576032,9.907273,3.3416975,en,0
City Climber,I break every bone mans body,6,28,-0.044203583,9.325517,4.547749,en,2
Crab Game,ah yes yr old scream mic walmart epic,8,37,-0.054924082,7.3684697,3.413485,en,7
Air Marty,stupid ass seatbeltbut game good,5,32,-0.026967065,9.274086,3.1732826,en,0
The Most Boring Game Ever,I play hour cofee still hot,6,27,0.028760452,10.405062,2.8752136,en,0
Red Dead Redemption 2,hunt rabbit hour perfect pelt,5,29,0.049552154,8.750794,4.7391963,en,11
Max Payne 3,good third person shooter ever make,6,35,-0.06629747,9.0132,2.7262518,en,0
BeamNG.drive,crash wall kmh never get old,6,28,0.078334905,11.71626,0.6924383,en,1
Loading Screen Simulator,add gta v online loading screen cloud laugh loud,9,48,-0.0024889517,10.243997,0.71441597,en,7
Grand Theft Auto V Legacy,single player epic online donkey ball,6,37,0.005642593,10.13025,0.67748404,en,0
Call of Duty®: Black Ops 6,zombie good multiplayer bad warzone like family threaten,8,56,-0.0659695,7.1502223,4.464656,en,0
Choo-Choo Charles,bit short gameplay great graphic bug stop I finish game frame per second heavily affect even I yeah spike frame per second I want look map worth money,28,150,0.029368887,9.426245,1.1923075,en,0
Teardown,almost fried I bomb whole map worth tho,8,39,0.080232084,9.087867,0.119094275,en,0
Dying Light 2 Stay Human: Reloaded Edition,game need lot fix parkour break respond every command give challenge break whole challenge route break lack imagination complete reach gold medal parkour break story good game mechanic need update asap game unplayable hard mode,35,227,-0.039531857,9.63335,0.3102664,en,0
Max Payne 3,good way learn take painkiller dodge bullet,7,43,0.047756113,8.520135,-1.2105333,en,8
Halo: The Master Chief Collection,great game great story must library,6,35,0.028758928,7.2424283,2.2179804,en,0
Spyro™ Reignited Trilogy,game childhood ps amaize buy game disapointe,7,44,-0.030686598,10.709149,2.2472522,en,0
Saints Row 2,horrible crash always slow connection hell,6,42,0.08283578,11.579907,0.65759826,en,1
Left 4 Dead 2,amazing game get nd one course old map love,9,43,-0.045041487,9.204948,0.14138938,en,0
Power & Revolution 2019 Edition,game slow connection crash piece junk ughhh,7,43,0.07366238,11.585158,0.6613848,en,1
Mafia II (Classic),slow motion glitch fix please,5,29,-0.019944595,9.789099,1.8709759,en,1
Metro Exodus,game incredible even well I expect one good story game I every play,13,67,-0.003334443,7.094794,1.9840716,en,0
Ship Graveyard Simulator: Prologue,lose time prologue yeah fun want play,7,37,-0.026203722,10.355303,3.0779831,en,0
Hellblade: Senua's Sacrifice,one good game I play,5,20,0.0051592807,9.941433,3.360587,en,0
Grounded,first experience game free weekend amazing experience even though game early access I much hooked game recommend highly everyone,19,128,-0.017555857,9.802725,0.9504014,en,0
Grand Theft Auto: Vice City,buy refresh childhood memory worth,5,34,-0.010099752,9.658836,2.7817616,en,0
Grand Theft Auto V Legacy,I compare game gta sa gta everything place gta v also place gta world awesome graphic good story multi roleplay game I love,23,123,-0.0039269705,7.5317345,4.948209,en,0
STAR WARS Jedi: Fallen Order™,dark souls jedi fall order epic battle epic battle cool lore cool lore good game design good game design star war,21,113,-0.012719278,7.4758453,0.47998413,en,0
Tom Clancy's Rainbow Six® Siege,dynamic original game time realistic I give game,8,48,-0.044038657,10.304013,2.7511659,en,0
Assassin's Creed Valhalla,chocolate dark alley downgrade compare odyssey easy bad combat bad movement fin slowmo force combat even hard difficulty enemy ai one shote fast light attack even tell come lmfao oh yeah first boss island somehow know stealthbackstab I sorry game call assasin creed I right steer away year,48,289,0.028323028,7.4279084,0.19009177,en,0
Max Payne 3,hour max pain movement feel like code buggy camera free aim also buggy story decent expect first headshot garbage hitreg getting shoot dead guy almighty bullet dodge sideway boat fall death favourite likely one last shot take game go cinematic scripted bullet jump aim I even go bother try finish game since last bug let go furth game I recommend watch yt,62,355,-0.012983861,9.391369,-0.004489475,en,8
Metro Exodus,bad expansion pack previous game redux game well crap,9,53,0.003451026,6.463649,-0.11670679,en,1
"Warhammer 40,000: Space Marine 2",I play game like long time game great graphic good story great lore atmosphere narrative style campaign text book level genre plus game manly game ever positive way feel epicene lot scene problem last boss design ai problematic high difficulty also attack also game support coop campaign operation pvp pretty decent match easily find even though aaa overpriced like aaa game look forward third game,65,398,0.016918154,7.95701,0.6061788,en,0
Overcooked! All You Can Eat,enjoyable game family friend game play child relaxed experience play friend get star everything get stressed unexpectedly gameplay length pretty good however controller compatible game still two player play one controller two play keyboard plus use remote play mean one person need purchase,43,290,-0.012306312,9.9354925,0.82599175,en,0
Super Bunny Man,surprisingly fun game course play friend,6,40,-0.01776808,10.425063,2.873767,en,18
Moonlighter,I would recommend game full price great discount value sale review discount price roguelite game pretty simple honestly bit repetitive however sell item shop great idea make game much enjoyable I would expect upgrade feature store much still shop aspect decent important part game I art style simple aesthetic suit well game atmosphere much story npc I would expect much roguelite important part roguelite would gameplay play style item upgrade bit straight forward pretty simple bit clunky time therefore great bad game questionable choice like boss kill armor give speed give much speed instead high armor rate useless weapon type etc reason I think great game discount price mediocre game full price,112,702,-0.053034216,8.136844,0.74659485,en,0
Moonlighter: Between Dimensions,contrary base game downloadable content feel hollow enemy base game much high hp lot hp sadly damage new enemy mostly annoying item steal ability mace wielder annoying attack pattern game become much big repetitive task main game annoying rare item upgrade useless special weapon expensive different currency reset every time leave dungeon elevator system reason developer think add old cheap item good idea force constantly arrange inventory reason upgrade shop weird since main theme game also new system limited item trade rare item purchase way haggle another grindy aspect sadly downloadable content repetitive grindy experience I able enjoy,98,646,-0.045844972,6.639314,-0.18772699,en,0
We Were Here Together,game series enjoyable game however much well puzzle design still puzzle great original play game side feel great,18,112,-0.05255437,7.790601,2.2557027,en,0
Pioneers of Pagonia,even though graphic nice atmosphere relax decent soundtrack game feel bit dull need lot micro management production chain sadly set number produce limit accord stock similar situation people lose work people equipment easy keep track color palette building similar also raid feel tiresome sometimes attack constantly level distance mean get raid strong enemy near base get economy go really go without much make bore around midgame lastly relation faction bit weak since anything trade sum I think game might potential long road right expensive,84,544,0.047385316,8.107666,-0.004429225,en,0
Supermarket Together,pretty enjoyable game especially friend weirdly support people much coop game invitation system steam break join game host name although graphic old animation funny least gameplay simple game enjoyable relax experience bit stressful beginning since clear direction find thing try like use numpad placement control another enjoyable part broom mechanic plus game get update surprise I since free definitely I recommend game,62,422,-0.05256243,9.540644,0.6592185,en,0
Deus Ex: Mankind Divided,I bit review even though gameplay feature decent world deus ex interesting compare one human revolution I think game sufficient good one first feels rush decent choice end story seem like halfdone dlcs dlcs irrelevant lackluster good mission still enough since main mission exciting part character writing bad obviously finish feel bit frustrated end reason end scene first part credit skippable normally would problem credit almost minute long replay ending skip bug make game crash try exit gun range however simple bug easily fix developer unfortunately care also long time one huge problem show developer care enough another problem micro transaction single player game okay I especially breach player friendly system obviously intentional reason add downloadable content give item great downloadable content least free triangle find scan barcode receive something extra one bad idea I ever hear however I use problem part lastly game include downloadable content name breach make go vr mode hack sadly pretty boring repetitive much story file recover however pretty boring genius think wait message good idea buy everything via box system another annoying feature dlcs purchase gun directly purchase box open yes system singleplayer game conclusion game potential sadly plan execute well enough always shadow human revolution least decent price sale,206,1354,0.043469854,6.750741,-0.6925414,en,0
Deus Ex: Mankind Divided - System Rift,worth especially full price even though new area gameplay time pretty short much new feature downloadable content worth money story game pretty irrelevant main game unnecessary boring foundation breach sadly need dlcs achievement,33,229,-0.005774977,6.1332197,0.31976372,en,0
Disco Elysium - The Final Cut,I think right medium story would much well book game still pretty good first great writing conversation character narrativethought process opening point even though story opening point original bit annoying I since I want guy however story process character become much interesting event unfold choose backstory honestly I trouble finish game probably much gameplay conversation choice even problem I think game deserve play even problem like I I think problem developer studio ownership original creator force quit I would cautious studio new game I would recommend one lastly art style music direction game pretty good I would advise miss karaoke scene buy game sale since great price sale,108,691,0.04113443,6.8770123,1.1323044,en,0
The Banner Saga 3 - Legendary Items,survival mode meaningless battle try survive reason developer want money downloadable content even though mode free second game nothing new actually charachter item map enemy eternal arena overprice downloadable content play weekly challenge compete also design arena reason feature free like game definitely lowquality content downloadable content free plus achievement require play year weekly basis least another annoying thing reason purchase I hate special item title game require pay get guess contrary game series last game feature also digital copy novel could good I prefer physical book sadly definite downloadable content,91,632,-0.025454555,5.845463,-0.0131825665,en,0
The Banner Saga 3 - Eternal Arena,overprice downloadable content play weekly challenge compete also design arena reason feature free like game definitely lowquality content downloadable content free,21,164,-0.02818352,5.5847116,0.07279224,en,0
The Banner Saga 3 - Soundtrack,decent soundtrack good puchase price listen regularly,7,53,-0.068383135,5.9800887,2.2608342,en,7
New Cycle,even though game look promise long road go right lot resource building game however balance far decent building system bit useless like outpost especially dome requirement sadly people die resource income dreadfully affect therefore economy collapse domino effect reason time limit end game fun event really interesting unfortunately system work properly like transporter belt road much need time limitation research tree bit annoying instant research proceed quick build previous system unlock new technology one annoying thing I tutorial real tutorial complex system video I hate I go study video learn game I want I would via professionalpsychotic player learn efficient system lastly imagine game work graphic card lot ps I go check game later thing like water balance update review I change opinion,123,803,0.020130059,8.200581,-0.95358074,en,0
Death and Taxes,I certainly game first look interesting game offer much dialogue interesting depth action affect anything make care get chore I also positive though art style enjoyable plenty profile check game decent price sale sadly even close paper please I think worth purchase sale play playthrough couple hour exploration purpose,49,319,-0.066392295,7.9105396,0.7843295,en,0
PlateUp!,even though game make multiplayer also playable solo lot different dish cook serve I would definitely recommend check mod game add dish option since roguelite make multiplayer able proceed much playing solo bit tiring I would recommend game go play people,41,255,0.06705082,11.086715,1.194881,en,0
The Pentest,simple free short puzzle game mechanic similar portal also new mechanic like gravity enjoyable even though movement smooth problem I think reason dislike game,24,158,-0.049813967,7.737299,2.060362,en,0
Surviving the Aftermath: Forgotten Tracks,I get one bundle without even try purchase however decent downloadable content,12,78,-0.06447471,4.993802,0.7022363,en,6
Surviving the Aftermath - Rebirth,annoying downloadable content cancel base game monster sandworm bandit settlement turn game action game also blight building mostly useless one building allow terraform increase fertility like late game thing make late use building blight blight make game constant combat map settlement main reason I hate downloadable content plus I pay base game sale downloadable content another annoying point I,59,398,-0.02198846,5.612233,0.022739591,en,0
Intravenous,fine stealth base isometric action game able go gun blaze except couple level look game like I would recommend game first I want thank developer turkish localization indie game one first decent turkish translation I ever see writing standard macho man write without anything special expect much passable turkish localization great quality enjoyable experience gameplay different gun use pistol silencer also pugilist run ai behavior decent although sometimes cheat level design good enough I time I sure I suppose go sadly one achievement bug first run use equipment one I would advise purchase game sale since huge price difference sale,100,637,-0.040989075,8.059376,0.4219348,en,0
Terra Nil,original game resource management aim restore nature reproduce animal kind climate condition different kind animal gameplay variety different mechanic enjoyable chilling time also music help relax see graphic really cute simple time normally I play hard difficulty game I would recommend play normal easy difficulty level wish would well game encyclopedia information fun fact animal well system change animal habitat,60,417,0.033928793,8.018968,0.055862088,en,0
Goose Goose Duck,great game play friend however able enjoy game need lot player classical vampirevillager kind game similar playstyle among negative thing game requirement create account game,25,174,-0.053713936,10.788684,-1.5094775,en,0
Planet Coaster - Spooky Pack,tiny cosmetic pack free since frontier shame milk customer useful part two new ride need,15,88,-0.036469314,5.035974,0.78414625,en,6
Planet Coaster - Knight Rider™ K.I.T.T. Construction Kit,tiny cosmetic pack free since frontier shame milk customer,9,58,-0.050525244,5.0623326,0.83134294,en,6
Planet Coaster - The Munsters® Munster Koach Construction Kit,tiny cosmetic pack free since frontier shame milk customer imagine sell holiday skin downloadable content singleplayer management game,18,134,-0.025753928,5.107659,0.7144294,en,6
Planet Coaster - Quick Draw Interactive Shooting Ride,surprising frontier provide downloadable content free since I ghostbuster downloadable content useless I least free,15,115,-0.031527016,5.166937,0.16228066,en,0
"Honey, I Joined a Cult",even though game premise seem interesting deliver expect sadly game pretty boring mid game feel like abandon game time wait something gather something else meantime since game pause end day also reason mission kind adventure mode numerous also another thing pause advancement mission understand certain need micromanagement I hate another annoying thing special character unfortunately lose mean able bring back way different theme offer ending worth wait since show image end game probably go include story narrative element decided anything game music another thing pretty limited repetitive positive aspect would graphic different room type research theme game cult theme inside game decent also count ending still enough I I would recommend purchase game,113,758,0.04030453,7.15251,0.7137585,en,0
Two Point Hospital: Close Encounters,always illness new skin new scenario new item annoying new wave mechanic one scenario wave mechanic show problem game like doctor refuse surgery personnel find way people look work use stamina reason sadly wave mechanic make wait lot without anything horrendous also one save slot become problem make mistake lose progress scenario hour another problem search people fake sick mess system search people plain annoying especially big hospital top price much something like especially consider price game discount make price difference even unreasonable game really repetitive dlcs,87,579,-0.047037,8.729766,-0.29408833,en,0
Two Point Hospital: Pebberley Island,always illness new skin new scenario new item annoying new wave mechanic one scenario wave mechanic show problem game like doctor refuse surgery personnel find way people look work use stamina reason sadly wave mechanic make wait lot without anything horrendous also one save slot become problem make mistake lose progress scenario hour another problem would new disaster make thing burn since extingusher one time use keep track top price much something like especially consider price game discount make price difference even unreasonable game really repetitive dlcs,87,567,-0.05832291,8.695362,-0.3262738,en,0
Two Point Hospital: A Stitch in Time,even though downloadable content add playtime different base game new scenario couple new illness different skin treatment room one new room really relevant portal place place annoying since waste space portal wave system feel different regular system definitely worth price,40,274,0.027988356,5.734478,0.13387401,en,0
Pillars of Eternity - The White March Part II,downloadable content could good part game another companion game regular problem game consist least story bit interesting,17,121,0.00628514,5.744898,0.13393155,en,0
Mass Effect™ Legendary Edition,one great series time character lore writing terrific I care every character want explore everything universe mass effect one great part series choice lot choice matter affect something next game careful choice though careful lead character death sadly game become like action game rd one mechanic great game mechanic especially balance citadel downloadable content annoying cover system poorly design since timebase mission series expect I would recommend check mission first also game cheap discount sale decent wait sale recommend I guarantee fill overwhelming emotion end third game definitely worth,89,603,-0.02364822,7.0251474,0.8476239,en,0
