Game,Genre,Review
Age of Wonders 4,Strategy,"I want to love Age of Wonders 4. It has so many good bits. I love the customisation of the factions, the tomes of magic that are the development tree, the graphics are great, etc. etc. But that AI is so bad, and because it is so bad they have to stack the AI players with so many discounts and special costs, that it is a truly joyless affair beyond the first difficultly level. I'm fighting an AI empire with my army of like 5 stacks of 6 units, the most I can afford to pay upkeep on and keep developing. I defeat one full slightly bigger army of the AI, because it is awful tactically. Within two turns it has completely replenished that army, which I also defeat, but now my army is showing some wear. Two turns later...here comes another army of the same size. This just keeps happening. Tactically, the AI is dumb as a post, but I HAVE to play each of these battles tactically because if I use the ""auto-battle"" feature my general is just as dumb. So I end up playing multiple fairly dull tactical battles watching my army (which takes me a long time to replace) be eroded by the AI's stupid but countless forces. It ruins a sense that you are playing against an opponent that is vaguely similar to you. You are clearly playing as a human, and they are all weird and stupid computers who just can spam out armies 10 times faster than you can. I'm sure there are ways around this, I'm sure there are strategies I could be using to account for this, but I'm equally sure I would not find any of those strategies fun. It's a disappointment, I really was looking forward to this game and spent far more than I should have on getting it. I wish I had waited months for a sale. I'm 104 hours in (not much by 4X game standards) and I feel like I am done, it's just no fun to play against these dumb AI players. UPDATED: I'd heard that maybe they had fixed the AI somewhat. But nope, it still does exactly the same things it did before; spamming massive armies at a far greater rate than a human player with minimal intelligence. So disappointing, because there is so much that is well done in the game. Maybe I am missing something? I'm willing to be convinced I'm just playing wrong."
Antihero,"Indie, Strategy","If you can get this on sale for less than $5 (as I did), go for it. But I can't really call this worth $15. I finished the campaign in ~5 hours. At first, it was difficult, but once I realized half the units were just a waste to resources, I got through it rather fast. The end makes it sound like more is coming, but the dev said he is done with it. I have no personal interest in online multiplayer and it seems to be added just to flesh the game out because of the abysmally short campaign. Plus, multiplayer is d-e-a-d. It is not necessarily a bad game, but it does not justify it's base price."
Antihero,"Indie, Strategy","Pretty solid boardgame on pc, but definitely something that's more enjoyable played against other people than some stupid ai. I mean, it's a boardgame. Boardgames are generally meant to be played against other people rather than by yourself. Duh."
Automation - The Car Company Tycoon Game,"Indie, Racing, Simulation, Strategy, Early Access",very bad waste of money
Automation - The Car Company Tycoon Game,"Indie, Racing, Simulation, Strategy, Early Access","My dislike for this game is more of a failure to understand it.  It's something that has had a lot of work put into it, and it falls heavily into the hardcore simulation branch. I have to say that the UI is the single worst thing about the game,  and that's a problem.   Because 90% of your time is going to be navigating through menus at its core.  you have to design models, trims,   engine families,  and variants.  and I still haven't gotten the hang of it. this is definetley a ""dad game"".   I'll keep giving it a chance,  but I can't reccomend you jump into this unless you know what you're getting into.  It's definetley for big brains."
Battlefield™ V,Action,good enough to be fun
Battlefield™ V,Action,most of cheater in game are chinese
Battlefield™ V,Action,"As a Battlefield fan, i can say that this game is playable and enjoyable. But i remind you Battlefield V is probably the worst game of the series (may be hardline but nvm). If you are new to the Battlefield series, try go different games like Battlefield 1. (in 2021, when i write this review BF1 still has a player community). But if you love Battlefield and you are fan of the series, then you should absolutely play this game. But i prefer buying this game on sale otherwise you will waste a lot of money because of this sh*tty EA pricing thing. Have fun."
Battlefield™ V,Action,"Trash game. Not even worth playing when it's free. ModernWarfare has less hackers per minute than this garbage. Recoil is all over the place for first time users, which makes it even less enjoyable. Game is so vibrant and full of shadows and headglitches that you won't see or hear where you get shot from. I'm pretty sure I didn't see a setting to make ads relative to fov so everytime I ads it zooms in and you don't have any fov to react to people coming from the sides."
Battlefield™ V,Action,fun duo medic
Battlefield™ V,Action,"The most casual/easy of all the Battlefield games I've played. They definitely were trying to appeal to a wider, more casual audience with this one unfortunately. Also, all the unrealistic SJW ""diversity"" is incredibly annoying and almost all of your multiplayer characters are always defaulted to women soldiers when you first start the game. Also, as if that wasn't already annoying enough, the chat is extremely censored and does not allow you to say words EA deems as naughty or ""controversial"". I thought this was an M rated game? Honestly, not worth supporting trash like this unless you can grab it on a deep sale for 5 bucks. For that price it's worth it if you just want a casual multiplayer shooter to kill time with."
Battlefield™ V,Action,"Lol, I didn't realise that you are forced to play german nazis in this game. What's next, playing poor KKK guy cause ""suffering is the same in every language""?"
Battlefield™ V,Action,"After going back and forth between Battlefield V and Battlefield 2042 Battlefield V looks like a masterpiece now despite the game is still Hackersfield. Great job EA DICE Edit: DICE finally add a working anti cheat, if youre looking for the last decent battlefield, BFV probably be it even in the future. just dont get it at full price Edit: and there we go another useless anti cheat by EA"
Battlefield™ V,Action,Literally the worst BF game ever.
Battlefield™ V,Action,"its m,iud"
Beholder,"Adventure, Indie, Strategy","Potentially great game bogged down with terrible mechanic choices. Game is in real time and the quests have time limits. Natural habit is to try to complete quests as fast and effective as one could, but this game requires stalling quests as long as possible to progress to the certain game events later. It is impossible to know it beforehand though, so either you savescum like crazy or you play the mechanics not the game itself and just cheese your way out of it. It's a great shame cause this game have a potential to be better version of papers please, just the weird time management choices forcing you to replay certain sequences in search for perfect activities rotation killed it for me."
Beholder,"Adventure, Indie, Strategy","Скажу честно, играть в Beholder мне ощутимо мешало чувство мерзости, я вырос в 80-е и был воспитан так, что доносчик обычно получал первым. Густая атмосфера игры буквально пропитана духом антиутопий Оруэлла и Хаксли, но самое страшное, что легко проводятся параллели с современным обществом. Первый признак болезненности государства, это принятие антиконституционных законов и наглое вмешательство в личную жизнь своих граждан. Управлять преступниками несоизмеримо проще, а если человек не совершает противоправных дел, то можно их выдумать. Абсурд ситуации, что это не наше будущее, а реальность. Большой брат уже не просто выбирает наш вектор развития, но и назидательно определяет группы лиц, делая их изгоями, в угоду политических амбиций. Мрачный тон повествования и силуэты персонажей наглядно демонстрирует, что это может случиться в любом обществе, и поэтому становится страшно. Beholder симулятор гражданского служащего, который в любом случае, защищая себя или государство ломает судьбы. И вся эта серьёзность подана увлекательным и поучительным тоном - 8.0 баллов"
Beholder 2,"Adventure, Indie, Simulation, Strategy",Just because you're paranoid doesn't mean they aren't after you.
Beholder 2,"Adventure, Indie, Simulation, Strategy","Another dystopic game from Warm Lamp Games in Beholder universe. This time, your character works in a ministry and the game makes you grasp the spirit of the bureaucracy. Both atmosphere and writing (mostly sarcastic and pretty dark) is like the first game, so if you liked the first one, probably you will like this one too. As gameplaywise, it has mini-games for daily jobs, some old-school text-adventure parts for going around, a little bit of self-developmental skill system and for the rest of the game, adventure style playstyle. Unfortunately, mini-games explained insufficiently and it makes it a bit hard to adjust but they are not particularly hard. However, you can do great at them without understanding what to do. Still, these games offer some variety for the game. There are lots of endings to choose from but the gameplay has almost no impact to these endings which means your moral choices don’t matter at the end. And of course, game has some great references to dystopias and first Beholder game."
BioShock Infinite - Season Pass,Action,"FINALLY UNDER 5$ - GET IT NOW I've had this game on my wishlist for 2 years, the sales are almost always for 9.99$. If you  really want the true ending of Bioshock get this DLC while it's on sale (this DLC is over 20GB of content)"
BioShock Infinite - Season Pass,Action,Buy it with the bundle.
Black Myth: Wukong,"Action, Adventure, RPG",What can i say other than Absolute cinema
Black Myth: Wukong,"Action, Adventure, RPG",incredible  beautiful and quality  game a must have
Black Myth: Wukong,"Action, Adventure, RPG",return to monke ♥♥♥♥♥ out for harambae
Black Myth: Wukong,"Action, Adventure, RPG","I'm waiting long time, Finally!! This is Very Good Game."
Blacklight: Retribution,"Action, Free To Play",R.I.P
Blacklight: Retribution,"Action, Free To Play","This is not bad at all for a free to play game, a very nice level of customization. Its a shame you have to put in so many hours to buy something permenant though"
Blacksad: Under the Skin,Adventure,"Blacksad is a an homage to many detective stories, even games such as LA Noire, but it focused too much on UI but not UX, the cinematography is great but the developer thought it was a movie, not a game which are both totally different artforms. It doesn't even allow you to change controls and its badly optimized for PC, the game's plot has so much petential though, if it was a bit lighter and fast paced, its the top games for me in story, even the voice acting is good ~ DIFFICULTY ~ 🔲 My 90 year old grandma could play it 🔲 Easy 🔲 Normal ✅ Hard 🔲 Dark Souls ~ GRAPHICS ~ 🔲 MS Paint 🔲 Bad 🔲 Meh 🔲 Graphics don't matter in this game 🔲 Good ✅ Beautiful 🔲 Masterpiece ~ MUSIC ~ 🔲 Bad ✅ Not special 🔲 Good 🔲 Beautiful ~ STORY ~ 🔲 This game has no story 🔲Like playing Temple Runners for the story 🔲It's there for the people who want it ✅ Well written 🔲 Epic story 🔲 Imagine Kingdom Hearts but on crack ~ PRICE ~ 🔲 Free 🔲 Underpriced ✅ Perfect Price 🔲 Could be cheaper 🔲 Overpriced 🔲 Complete waste of money (It was free on Epic) ~ REQUIREMENTS ~ 🔲 You can run it on a microwave 🔲Average ✅ High end 🔲 NASA computer ~ LENGTH ~ 🔲 Very Short (0 - 2 hours) 🔲Short (2 - 15 hours) ✅ Average (15-50 hours) 🔲 Long (50-90 hours) 🔲 Extremely long (90-110 hours) 🔲 No ending ~ FUN ~ 🔲 I'd rather watch paint dry ✅ Hard to enjoy 🔲 Repetitive 🔲 Actually pretty amusing 🔲The kind of fun you'll remember 🔲 Ride of your life ~ REPLAYABILITY~ 🔲 It's a one-time experience ✅ Only for achievements 🔲 If you wait a few months/years 🔲 Definitely 🔲 Infinitely replayable ~ WORTH BUYING ~ 🔲 No ✅ Wait for sale 🔲 Yes"
Blacksad: Under the Skin,Adventure,"I love Blacksad, have all the comic books at home, read them several times etc... the game is nice ok but it's a horrible port, the controls suck, the character doesnt run and there are several UI related issues etc. Buy it on serious sale."
Blacksad: Under the Skin,Adventure,"It's truly awesome game. Desmond O'Leary totally rules and Jake Ostombe is just the best. Also, ""We cats and wolves hunt at night"" 9+/10"
Borderlands 3: Gold Weapon Skins Pack,"Action, RPG","why 5 bucks, seriously"
Borderlands 3: Gold Weapon Skins Pack,"Action, RPG","You shouldnt pay 7$ for the option to have gold skins on your weapons BUT. If you keep an eye out on humble bundle, the ultimate edition of BL3 sometimes shows up with some other games for about 15$."
Brawlhalla,"Action, Indie, Free To Play","⠀⠘⡀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⡜⠀⠀⠀ ⠀⠀⠀⠑⡀ it's good, ⠀⠀⠀⠀ ⠀⠀ ⡔⠁⠀⠀⠀ ⠀⠀⠀⠀⠈⠢⢄⠀ you should try it⠀ ⣀⠴⠊⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⢸⠀⠀⠀⢀⣀⣀⣀⣀⣀⡀⠤⠄⠒⠈⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠘⣀⠄⠊⠁⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀ ⣿⣿⣿⣿⣿⣿⣿⣿⡿⠿⠛⠛⠛⠋⠉⠈⠉⠉⠉⠉⠛⠻⢿⣿⣿⣿⣿⣿⣿⣿ ⣿⣿⣿⣿⣿⡿⠋⠁⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠉⠛⢿⣿⣿⣿⣿ ⣿⣿⣿⣿⡏⣀⠀⠀⠀⠀⠀⠀⠀⣀⣤⣤⣤⣄⡀⠀⠀⠀⠀⠀⠀⠀⠙⢿⣿⣿ ⣿⣿⣿⢏⣴⣿⣷⠀⠀⠀⠀⠀⢾⣿⣿⣿⣿⣿⣿⡆⠀⠀⠀⠀⠀⠀⠀⠈⣿⣿ ⣿⣿⣟⣾⣿⡟⠁⠀⠀⠀⠀⠀⢀⣾⣿⣿⣿⣿⣿⣷⢢⠀⠀⠀⠀⠀⠀⠀⢸⣿ ⣿⣿⣿⣿⣟⠀⡴⠄⠀⠀⠀⠀⠀⠀⠙⠻⣿⣿⣿⣿⣷⣄⠀⠀⠀⠀⠀⠀⠀⣿ ⣿⣿⣿⠟⠻⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠶⢴⣿⣿⣿⣿⣿⣧⠀⠀⠀⠀⠀⠀⣿ ⣿⣁⡀⠀⠀⢰⢠⣦⠀⠀⠀⠀⠀⠀⠀⠀⢀⣼⣿⣿⣿⣿⣿⡄⠀⣴⣶⣿⡄⣿ ⣿⡋⠀⠀⠀⠎⢸⣿⡆⠀⠀⠀⠀⠀⠀⣴⣿⣿⣿⣿⣿⣿⣿⠗⢘⣿⣟⠛⠿⣼ ⣿⣿⠋⢀⡌⢰⣿⡿⢿⡀⠀⠀⠀⠀⠀⠙⠿⣿⣿⣿⣿⣿⡇⠀⢸⣿⣿⣧⢀⣼ ⣿⣿⣷⢻⠄⠘⠛⠋⠛⠃⠀⠀⠀⠀⠀⢿⣧⠈⠉⠙⠛⠋⠀⠀⠀⣿⣿⣿⣿⣿ ⣿⣿⣧⠀⠈⢸⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠟⠀⠀⠀⠀⢀⢃⠀⠀⢸⣿⣿⣿⣿ ⣿⣿⡿⠀⠴⢗⣠⣤⣴⡶⠶⠖⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣀⡸⠀⣿⣿⣿⣿ ⣿⣿⣿⡀⢠⣾⣿⠏⠀⠠⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠛⠉⠀⣿⣿⣿⣿ ⣿⣿⣿⣧⠈⢹⡇⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣰⣿⣿⣿⣿ ⣿⣿⣿⣿⡄⠈⠃⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢀⣠⣴⣾⣿⣿⣿⣿⣿ ⣿⣿⣿⣿⣧⡀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢀⣠⣾⣿⣿⣿⣿⣿⣿⣿⣿⣿ ⣿⣿⣿⣿⣷⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢀⣴⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿ ⣿⣿⣿⣿⣿⣦⣄⣀⣀⣀⣀⠀⠀⠀⠀⠘⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿ ⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣷⡄⠀⠀⠀⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿ ⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣧⠀⠀⠀⠙⣿⣿⡟⢻⣿⣿⣿⣿⣿⣿⣿⣿⣿ ⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠇⠀⠁⠀⠀⠹⣿⠃⠀⣿⣿⣿⣿⣿⣿⣿⣿⣿ ⣿⣿⣿⣿⣿⣿⣿⣿⡿⠛⣿⣿⠀⠀⠀⠀⠀⠀⠀⠀⢐⣿⣿⣿⣿⣿⣿⣿⣿⣿ ⣿⣿⣿⣿⠿⠛⠉⠉⠁⠀⢻⣿⡇⠀⠀⠀⠀⠀⠀⢀⠈⣿⣿⡿⠉⠛⠛⠛⠉⠉ ⣿⡿⠋⠁⠀⠀⢀⣀⣠⡴⣸⣿⣇⡄⠀⠀⠀⠀⢀⡿⠄⠙⠛⠀⣀⣠⣤⣤⠄⠀"
Brawlhalla,"Action, Indie, Free To Play","............................................________........................ ....................................,.-‘”...................``~.,.................. .............................,.-”...................................“-.,............ .........................,/...............................................”:,........ .....................,?......................................................\,..... .................../...........................................................,}.... ................./......................................................,:`^`..}.... .............../...................................................,:”........./..... ..............?.....__.........................................:`.........../..... ............./__.(.....“~-,_..............................,:`........../........ .........../(_....”~,_........“~,_....................,:`........_/........... ..........{.._$;_......”=,_.......“-,_.......,.-~-,},.~”;/....}........... ...........((.....*~_.......”=-._......“;,,./`..../”............../............ ...,,,___.\`~,......“~.,....................`.....}............../............. ............(....`=-,,.......`........................(......;_,,-”............... ............/.`~,......`-...............................\....../\................... .............\`~.*-,.....................................|,./.....\,__........... ,,_..........}.>-._\...................................|..............`=~-,.... .....`=~-,_\_......`\,.................................\........................ ...................`=~-,,.\,...............................\....................... ................................`:,,...........................`\..............__.. .....................................`=-,...................,%`>--==``....... ........................................_\..........._,-%.......`\............... ...................................,<`.._|_,-&``................`\.............."
Brawlhalla,"Action, Indie, Free To Play","Совсем недавно мне посоветовали поиграть в игру Brawlhalla. Это 2d файтинг в мультиплеере. Основная задача этой игры скинуть противника с арены. Но для этого нужно попотеть, так как в этой игре набивается скилл, скилллвых игроков победить достаточно трудно. Наиграл я в эту игру совсем немного, но с уверенностью могу сказать что это шедевр. И так, начну более подробный рассказ об игре. В ней присутствует довольно неплохое количество персонажей, у которых имеется своё оружие и способности. Всего в игре их 38, но новых разработчики добавляют часто. Героев можно покупать за игровую валюту и за донат. Сама по себе игра бесплатная. Но на что жить разработчикам) Также в игре присутствует два режима игры. Обычный и ранговый, в котором можно получать деньги за которые надо покупать новое оружие. В обычных же боях, вы просто тренируетесь и также как и в ранговых получаете монеты, за которые покупаются новые герои. Присутствует система кланов, которая открывается с 15 уровня. Ну о чём знал, рассказал, теперь ваша очередь опробовать эту игру."
Brawlhalla,"Action, Indie, Free To Play",bad
Brawlhalla,"Action, Indie, Free To Play",bad
Call of Duty: World at War,Action,Great cod game 20/10
Call of Duty: World at War,Action,it goody
Call of Duty: World at War,Action,perfect game
Call of Duty: World at War,Action,.
Call of Duty: World at War,Action,Classic. The game that started nazi zombies. Epic campaign and great soundtrack.
Call of Duty: World at War,Action,this is great stuff
Call of Duty® (2003),Action,"Definitely worth getting, lengthy campaign that includes USA, United Kingdoms and Russia storyline's that blend together well - decent amount of weapon options If you've enjoyed playing COD World at War, you'll have no problem getting into this game, most gun models and reload animations are exactly the same in both games, but very different story modes Good music also, definitely fitting the theme of ww2. Btw there is no censorship regarding nazi symbols, in fact it's shown everywhere in the game in most if not all missions, so if that's something that offends you you've been warned. But it's accurate with the history. The only downside to this game, are some technical difficulties. Launching the game doesn't work, unless I do Ctrl+alt+delete and start task manager, and force close Cod. Then the game will launch the second try, and that's a consistent fix for the problem.  The other technical issue, is after closing the game, steam still thinks the game is open adding fake hours to your playtime. And since steam thinks the game is still playing, I couldn't play other games without restarting my computer entirely, if I only restarted Steam it would still think I was playing COD. They were pretty small issues, pretty annoying, however they did have a consistent solution for the issues. besides that, I'd definitely recommend this game for anyone who enjoys world war 2 FPS games"
Call of Duty® (2003),Action,"This is the original Game, the one that started all the fanboy ♥♥♥♥♥♥♥♥, dont get me wrong Call of Duty 1 was a great game. But loyalty means nothing to infinity ward. You can get this game on Xbox under the false name of ""Call of duty: Classic"" but this was born a PC game and shall remain. If it wasnt for this game and the PC community, Call of duty never would have become what it is today.  And I'm not saying that as if I like what it is today either. Personally I think the series was born, and died before it even made it to CoD 2"
Card Quest,"Indie, RPG, Strategy",Like a ...bad version of Slay the Spire. The game isn't terrible or bad even - but if something is better...why would you spend time with this?
Card Quest,"Indie, RPG, Strategy","This game is a hidden gem. Carefully craft your win-it-all strategy by combining numerous items and their associated sets of attacks. Just based on the atmosphere and the deck building mechanics I like it more than Slay the Spire and Roguebook, whereas it is similar to Bloodcard. Obiously, the game has its flaw. There are no real keyboard controls and some things lack explanation. For example ""Unaware"" prevents ""Dodge"". And what happens if my char is hidden? But that is also the cool part: Try it out and see what happens! I guess that is what makes the game so much fun for me."
Card Quest,"Indie, RPG, Strategy",Pretty decent card battler that is all about resource and combo management.  Trying to make the most of your tight little hand of 5 cards and limited stamina.
Card Quest,"Indie, RPG, Strategy","Fantastic deck-building game. As you clear areas you unlock items for 6 slots, each item adds a few cards or an ability you can use periodically. Each item is tied to one of the slots, and by mixing and matching you can heavily customize your deck. I found the game very hard until I realized that you need to play across the 3 different quests, not just focus on one. This allows you to clear the easy areas in all the quests to unlock more item options. One warning: while the art is good, you spend pretty much the whole game fighting enemy pictures on a black background. Outside of the theme of the cards/monsters and some quick text storytelling, you won't really see the world you're in. The combat mechanics and enemy design are tight and well crafted, you can dramatically change how your deck plays, and there's 4 characters with completely unique unlocks and playstyles. I've had a ton of fun with this game, and I'm definitely going to keep playing until I unlock everything. If you like card based games, you really owe it to yourself to check this one out."
Castle Itter - The Strangest Battle of WWII,"Indie, Simulation, Strategy","Puzzle. Addictive. Played it 8 times in a row my first sitting. Designed as a solo experience. The board game is $50+ on eBay. If you figure out how the tank is not just a suicide mission, I really want to know. True historical WWII battle. Real people. Their actual names and photos. A strange battle indeed. War is crazy as hell."
Castle Itter - The Strangest Battle of WWII,"Indie, Simulation, Strategy",Awesome game! :D
Close Combat: The Bloody First,"Simulation, Strategy",Game of elevations and line of sight with AI that force you to manually check elevations and line of sight for each squad every 5 seconds. Also - really awkward UI and controls. Bleak and washed out colour palette of the map and your squads does not help with maintaining control over your troops positions.
Close Combat: The Bloody First,"Simulation, Strategy",No just no. Obsolete graphics with horrible UI.
Colt Canyon,"Action, Casual, Indie, RPG","A real fun stylish western roguelite twin stick shooter.  You'll be running through the level looking for ammo and blasting baddies as you head down the road to rescue your kidnapped significant other.  There is a great variety in characters (primarily different stats and starting equipment), weapons, and baddies (including very tough bosses).  I find I really love/hate the game's tight ammo supply.  It keeps thing tense and often has you using non-optimal weapons as they might be the only ones you still have ammo for at the moment.  Also, since you can only carry 2 weapons at a time, the game really forces you to carefully weigh which ones you'll equip (and, nicely, as the game allows backtracking into previously cleared levels on a run, you're still free to switch back to any weapons you might have discarded earlier on the trail)."
Colt Canyon,"Action, Casual, Indie, RPG","Really fun, and co-op is great. 8/10 However, here are a couple of things that can be improved: 1) Bolder colors and the ability to change the colors under your character would be nice. I  get confused between my character and my friend's character while playing co-op sometimes, especially when things get chaotic. 2) I hate how you need to use ammo and/or health to purchase items from the trader. The addition of money for purchases would be great."
DRAGON BALL FighterZ,Action,Only matches makes my self esteem hit rock-bottom.
DRAGON BALL FighterZ,Action,got ♥♥♥♥ on like 4 or 6 times in a row in ranked by the same dude but it was fun
Darksiders II Deathinitive Edition,"Action, Adventure, RPG","The Hack-N-Slash element and animations still hold up today. Play this if you want a classic power fantasy, button-mash, and 3rd-person Hack-N-Slash. Sit back, relax, and enjoy the protagonist's dry non-cringe-worthy retorts and general badass-ery."
Darksiders II Deathinitive Edition,"Action, Adventure, RPG","An excellent remaster that fixes what many users complained about when the original launched: HD textures, a different lighting engine (which may be subject to preference, as it is more realistic than before and thus things aren't as glowy anymore), DLC integrated into the main game, and plenty of fixes as well as rebalancing of enemies and gear. Honestly, this upgrade is worth it for the highly detailed textures and new environmental effects alone. If you've never played Darksiders II, this version is excellent for you, too. It includes all DLC content previously available and runs smooth on modern systems - even on my old (and hopefully soon to be replaced) AMD5750 graphics card, it runs just about the same as the original did, at a drastic increase in visual fidelity. Overall, I am very pleased. Finally the game looks like the artists intended it to originally, but weren't able to realize before. It is well worth picking up."
Darksiders II Deathinitive Edition,"Action, Adventure, RPG",I like this game very much.
