Game,Dominant_Topic,Similarity_Score
Borderlands: The Pre-Sequel,-1,0.3064838959176597
Brigador: Up-Armored Edition,-1,0.7130702863270253
Bright Memory,-1,0.4157729379208327
Broken Sword 2 - the Smoking Mirror: Remastered (2010),9,0.5587286234254742
Broken Sword: Director's Cut (2009),14,0.5368775316038016
Brothers in Arms: Road to Hill 30™,-1,0.6368712755032048
Brutal Legend,14,0.7185084652127333
Buckshot Roulette,7,0.6341775110498925
CODE VEIN,5,0.8261804900757109
Call of Cthulhu®,-1,0.38017607976156675
Call of Duty®,17,0.649850644955174
Call of Duty®: Black Ops,13,0.5639330479734466
Call of Duty®: Modern Warfare® 2 (2009),24,0.6754845658149643
Call of Duty®: WWII,-1,0.6455258783402811
Call of Juarez: Bound in Blood,-1,0.6014482110586485
Call of Juarez: Gunslinger,1,0.7231376854183347
Call to Arms,0,0.5028833396398945
Cardboard Town,-1,0.6834631223041456
Castle Crashers®,13,0.276311955386536
Celeste,-1,0.48815921427519093
Chained Together,4,0.5901927485372284
Charlie Murder,-1,0.6398790146585314
Chicory: A Colorful Tale,-1,0.4061368760157185
Children of Morta,-1,0.6391466955730427
Circadian Dice,2,0.6113492367955293
Cities: Skylines,8,0.6535332980530042
Colin McRae Rally,0,0.6575331838393743
Company of Heroes 2,0,0.5841363900696346
Company of Heroes: Tales of Valor,1,0.5786355286339178
Conan Exiles,21,0.778075614054063
Content Warning,-1,0.5090426101353545
Control Ultimate Edition,5,0.7480981843138742
Coral Island,1,0.5817473991168183
Counter-Strike 2,-1,0.520900894977599
Counter-Strike: Source,10,0.665397241263099
Crawl,-1,0.6984778089400384
Cruelty Squad,25,0.704442474110231
Crying Suns,4,0.5717243706453894
Crysis 3 Remastered,-1,0.6143523642061728
Crysis Remastered,3,0.6068719831882998
Cyberpunk 2077,6,0.6836877451567546
D&D Lords of Waterdeep,7,0.7092819755479103
DARK SOULS™ II: Scholar of the First Sin,5,0.7740832526292685
DARK SOULS™ III,0,0.34651266213981696
DEATHLOOP,5,0.7450242406457495
DESOLATE,-1,0.7245621181819452
DOOM,15,0.6556964346325159
DOOM 3,4,0.6009606189588378
DOOM Eternal,12,0.6559990853296885
DPS IDLE,2,0.6974042459963076
Dagon: by H. P. Lovecraft,5,0.7438245321931589
Dark Messiah of Might & Magic,8,0.7139492523573946
Darksiders Warmastered Edition,5,0.8401755216958973
Day of Defeat,11,0.6173899110399776
Days Gone,5,0.8245548639798058
Dead Cells,16,0.7538293267778929
Dead Island: Epidemic,-1,0.6354143557273467
Dead Rising 2: Off the Record,-1,0.7025657166973344
Dead Rising 3 Apocalypse Edition,4,0.5806316923599392
Dead Rising 4,16,0.6744491386924151
Dead by Daylight,6,0.7386383828937175
Deathstate: Abyssal Edition,2,0.387227129918189
Deponia Doomsday,2,0.580955424708627
Depression Quest,11,0.5645416048862506
Desktop Dungeons,-1,0.6339867688498142
Destination Primus Vita - Ep. 1,4,0.5658836339973754
Destiny 2,10,0.7205483612108715
Deus Ex: Game of the Year Edition,9,0.3370490755283806
Devil May Cry 5,5,0.7734833347330899
DiRT Rally,6,0.6543374938097205
Die in the Dungeon: Origins,-1,0.2928592712978475
Dinkum,1,0.5046898474490471
Dino D-Day,-1,0.38189462025033166
Dirty Bomb®,0,0.33415144829078347
Dishonored®: Death of the Outsider™,-1,0.536600977636189
Divinity II: Developer's Cut,6,0.8149774164594416
Divinity: Original Sin - Enhanced Edition,2,0.6270996635220591
Do Not Feed the Monkeys,-1,0.6529433378362423
Doki Doki Literature Club!,15,0.6875802316045572
Dorfromantik,1,0.6167232405963406
Dragon's Dogma: Dark Arisen,5,0.7668786880392048
Duelyst,2,0.6899446473014434
Dungeon of the ENDLESS™,2,0.6453917802906864
Dwarf Fortress,1,0.41500570236398615
Dying Light 2 Stay Human: Reloaded Edition,7,0.742675784127255
Dyson Sphere Program,-1,0.4914131717168631
ENDLESS™ Legend,5,0.7054381957835036
Eco,4,0.6258029685976804
Endzone - A World Apart,8,0.6711366943357153
Entropy : Zero 2,16,0.763767575281633
Eronoctosis: Put Yourself Together,7,0.5605084743137139
Escape the Backrooms,7,0.6017766112955394
Euro Truck Simulator,-1,0.36605074970492973
F.E.A.R.,15,0.6226382738543565
F.E.A.R. 2: Project Origin,-1,0.6822000905760344
FTL: Faster Than Light,-1,0.42278591846488744
Factorio,5,0.7116527827478698
Faeria,2,0.6512399679739443
Fall Guys,11,0.7357870229959463
Fallout 2: A Post Nuclear Role Playing Game,20,0.8744274781300374
Fallout 4,-1,0.8219013034590331
Fallout: A Post Nuclear Role Playing Game,20,0.8041767601594807
Fallout: New Vegas,20,0.7394652735932971
Far Cry 3,1,0.6208352265894881
Far Cry® 2,16,0.7657896313004038
Fights in Tight Spaces,2,0.6279043957235634
FlatOut 3: Chaos & Destruction,-1,0.6262342093184708
Flower,3,0.24936957125923156
Frostpunk,8,0.7401865463817962
Frozen Synapse,-1,0.7132563198681983
Galactic Civilizations III,11,0.6798112464719951
Garry's Mod,16,0.7773551813429762
Gears 5,18,0.7126146135929238
Ghostwire: Tokyo,-1,0.5356180522911242
God of War,1,0.7502007163943195
Gone Home,-1,0.5748063261260765
Grand Theft Auto V Legacy,0,0.3065062516251984
Grand Theft Auto: San Andreas,-1,0.2650469135846103
Griftlands,-1,0.6203010287527859
Guild of Dungeoneering Ultimate Edition,11,0.5559432631308028
Gunpoint,6,0.30181317018700354
HELLCARD,2,0.6625789243123759
HELLDIVERS™ 2,21,0.8099138810504355
HITMAN World of Assassination,22,0.7680504493222582
HITMAN™ 2,22,0.8363371651239231
Hades,5,0.8272859775895371
Half-Life,19,0.7709161861905243
Half-Life 2,19,0.7785567512263415
Half-Life: Alyx,19,0.7766771418668379
Half-Life: Blue Shift,19,0.649392866503978
Half-Life: Opposing Force,19,0.81496205421595
Half-Life: Source,19,0.7208389631298695
Halls of Torment,23,0.6810502578694559
Halo Infinite,24,0.8625976667522479
Halo: The Master Chief Collection,24,0.7620132347710031
Hard West,4,0.7350640889958774
Hardspace: Shipbreaker,-1,0.7528252119013638
Hearts of Iron IV,7,0.6904121733951841
Heat Signature,-1,0.48350588596169863
Heroes & Generals,9,0.7441956714687815
Hitman: Absolution™,5,0.8422616263696763
Homefront,3,0.6030111681734638
Homeworld Remastered Collection,-1,0.4239322297942661
Hotline Miami,1,0.2670526261116574
Hotline Miami 2: Wrong Number,12,0.61577471248844
Human Fall Flat,7,0.661826198021391
Hyper Light Drifter,4,0.4665863177514787
ICY: Frostbite Edition,-1,0.6754257986051423
ISLANDERS,4,0.717584655079078
Imperator: Rome,5,0.6673102961882195
Injustice: Gods Among Us Ultimate Edition,0,0.5978300799603705
Inscryption,2,0.6607990754955003
Insurgency,6,0.6698229023695036
Insurgency: Sandstorm,10,0.6626324362383116
Ion Fury,-1,0.6861840394609455
Iron Danger,8,0.5386779625582994
Jagged Alliance 3,5,0.7238489246104824
Jalopy,-1,0.5897400503308972
Just Cause 2,12,0.679198735976448
Just Cause™ 3,17,0.6457356447938996
KARDS - The WW2 Card Game,6,0.6717120068464999
Kane & Lynch 2: Dog Days,9,0.727127634651892
Kerbal Space Program,4,0.46700290417714474
Killing Floor 2,6,0.6283939058827652
King Arthur: Knight's Tale,1,0.5356473191588782
L.A. Noire,5,0.7324195111939814
LEWDAPOCALYPSE Hentai Evil,3,0.5155565194700664
Labyrinth: The War on Terror,-1,0.22439530192340054
Lara Croft GO,2,0.5574605999291544
Left 4 Dead 2,-1,0.4820698179812292
Lethal Company,-1,0.4604979949832477
Little Nightmares,3,0.6569064282769864
METAL GEAR SOLID V: GROUND ZEROES,14,0.7805658911088325
METAL GEAR SOLID V: THE PHANTOM PAIN,8,0.6853418755923889
Mafia,3,0.4862803628754536
Mafia II: Definitive Edition,14,0.7652020519462324
Mafia III: Definitive Edition,-1,0.6667801046351752
Magic Duels,2,0.7476084413575461
Magicka,-1,0.7167974006823405
Mainframe Defenders,3,0.6310406459711264
Manhunt,13,0.41393608547822514
Marvel's Guardians of the Galaxy,5,0.6978170756281041
Marvel's Guardians of the Galaxy: The Telltale Series,9,0.5021244524075109
Marvel's Midnight Suns,-1,0.6778233763858568
Marvel’s Spider-Man: Miles Morales,5,0.8054908052643536
Max Payne 2: The Fall of Max Payne,1,0.6370014358413039
Max Payne 3,9,0.5887987981306689
McPixel 3,1,0.6969944253399692
Mech Armada,3,0.6178437525320126
Men of War: Assault Squad 2,0,0.4644216549035976
Middle-earth™: Shadow of War™,5,0.8060952745504043
Minion Masters,2,0.7432480252102405
Monster Train,2,0.7151639013379272
Morphopolis,12,0.4971554509677022
Mortal Kombat Komplete Edition,14,0.7556773585495877
Mortal Kombat X,14,0.7387130313231436
Mount & Blade: Warband,0,0.7148223856669749
Munin,-1,0.6545513120592121
Muse Dash,11,0.7535212792029671
Mushroom 11,-1,0.32296948442142315
Mutant Year Zero: Road to Eden,-1,0.6611287022808955
My Friend Pedro,5,0.7562874127725908
My Summer Car,8,0.5033148643715468
Mythgard,2,0.7441960225063283
NEO Scavenger,2,0.6508587568613803
Nearwood - Collector's Edition,-1,0.6460319721811578
Never Alone (Kisima Ingitchuna),-1,0.7011898381388753
NieR:Automata™,-1,0.6106328536384665
No Man's Sky,5,0.7706821363825386
Nova Blitz,-1,0.5770650334617717
Obsidian Prince,3,0.3226619154094877
Once Human,1,0.6843312083499196
One Finger Death Punch,-1,0.6448305111958207
Order of Battle: World War II,0,0.5957525082524417
Ortus Regni,2,0.6681215247888539
Orwell: Keeping an Eye On You,1,0.5780616257426026
Overwatch® 2,-1,0.3994947657049763
PUBG: BATTLEGROUNDS,12,0.6527422316158329
PWND,1,0.6185270824729348
Path of Exile,5,0.8149715066758475
Penumbra Overture,-1,0.6564645407234672
People Playground,-1,0.48911082228528013
Phasmophobia,7,0.5935204139340715
Pikuniku,-1,0.4948756501013826
Pillars of Eternity,5,0.7816695025889818
PlanetSide 2,11,0.7292951523609259
Pony Island,-1,0.7042938831135522
Portal,-1,0.5658513235600422
Predynastic Egypt,5,0.708146767586716
Project Warlock,-1,0.6921767659946654
Quake Champions,9,0.6736654406813557
RIOT: Civil Unrest,12,0.47903542538829713
Raft,7,0.6775806628734099
Ravenfield: Multiplayer Mod,1,0.49013226000790505
Rebel Cops,9,0.7593149168750267
Red Dead Redemption 2,5,0.7414368907284697
Red Faction Guerrilla Re-Mars-tered,13,0.5437674489719132
Resident Evil 5,13,0.6512189465811111
Resident Evil 7 Biohazard,15,0.7583131954363006
Resident Evil Village,18,0.7580595957130395
Return of the Obra Dinn,-1,0.6086598131591132
Reventure,-1,0.6760591740595646
Risk of Rain 2,4,0.5231823517753954
Roll Player - The Board Game,-1,0.6460716078910713
Rusty Lake Hotel,6,0.6295873020460383
SCP: Secret Laboratory,-1,0.44726674013641365
SMITE®,0,0.5466291401697884
STALCRAFT: X,-1,0.55766970482811
SUPERHOT,-1,0.7498059012071803
SYNTHETIK: Arena,7,0.5859849074705736
Saints Row 2,23,0.8392980676122693
Saints Row IV: Re-Elected,23,0.8407315732310809
Saints Row: The Third,23,0.7662430494496725
Sekiro™: Shadows Die Twice - GOTY Edition,14,0.6499029901913372
Serious Sam 3: BFE,-1,0.5966667463902896
Shadow Tactics: Blades of the Shogun,-1,0.6219250510876356
Shadow Warrior 2,9,0.7142302093341164
Shantae: Risky's Revenge - Director's Cut,-1,0.6421406879260947
Shards of Azuria,-1,0.5946919385064623
Shatterline,-1,0.7285001246980358
Sherlock Holmes: Crimes and Punishments,4,0.6474958010393761
Sid Meier's Civilization® V,0,0.5221002063657919
Sid Meier's Starships,5,0.792906287862039
Skullgirls 2nd Encore,11,0.5174394471177569
Sleeping Dogs,-1,0.29450863464495486
Sniper Elite 3,4,0.6431925200501555
Sniper Elite 4,0,0.4950303994315879
Solar Settlers,2,0.7324427460108431
Sorcery! Parts 1 and 2,5,0.7290776935723221
Space Hulk: Deathwing Enhanced Edition,-1,0.639935195881035
Spec Ops: The Line,23,0.7604069187024534
SpellForce 3 Reforced,6,0.7500380135266888
Squad,11,0.6474341445727663
Star Conflict,14,0.5782432854571665
State of Decay,15,0.6948009624336053
Stray,14,0.6302602715715173
Street Fighter V,4,0.5724363995023397
Stronghold Crusader 2,1,0.4805432728679739
Subnautica: Below Zero,-1,0.5204834216263172
Suicide Squad: Kill the Justice League,18,0.5806309670960879
Supermarket Together,7,0.8092261962874774
Surviving Mars,6,0.7089922008682888
Surviving the Aftermath,5,0.7095681783398929
THE FINALS,9,0.6716066203794041
Tactical Assault VR,-1,0.6053024598018003
Tainted Grail: Conquest,2,0.6218958673738125
Tales from the Borderlands,18,0.6421532775282754
Terraria,1,0.7023104318573067
The Age of Decadence,2,0.6881900054446809
The Ascent,-1,0.6783783480225667
The Callisto Protocol™,5,0.7910546341995488
The Council,1,0.7242922634605455
The Crew™ 2,4,0.6614085615695824
The Darkness II,3,0.6519072656094806
The Deadly Tower of Monsters,12,0.5774189777749965
The Flame in the Flood,7,0.6921552324178417
The Forest,2,0.6937630270930212
The Forgotten City,3,0.6310704207195745
The Invincible,1,0.7080475055352918
The Lab,-1,0.29213231734828904
The Lord of the Rings: Journeys in Middle-earth,1,0.5441274606268353
The Outlast Trials,-1,0.400294531835939
The Raven - Legacy of a Master Thief,-1,0.554856473846651
The Room Two,-1,0.6194203761216587
The Signal From Tölva,18,0.7179430258367244
The Spell Brigade,21,0.7333042814494828
The Swords of Ditto: Mormo's Curse,14,0.70799058550401
The Tiny Bang Story,-1,0.3483566405458447
The Turing Test,1,0.6263745471149839
The Vanishing of Ethan Carter - Collector's Edition Upgrade,1,0.6728331717119929
The Witcher 3: Wild Hunt,2,0.709039903924761
The Witcher: Enhanced Edition Director's Cut,5,0.7912791577183869
The Witness,1,0.7189267503789883
The Wolf Among Us,1,0.6913307904695305
This War of Mine,2,0.7106964382565254
Titanfall® 2,0,0.6224956899736935
Tom Clancy's Ghost Recon® Wildlands,4,0.6645590081940925
Tom Clancy's Rainbow Six® Vegas,-1,0.5844839725995095
Tomb Raider,17,0.7822538010388297
Tomb Raider: Legend,-1,0.6575198556072834
Total War: ATTILA,6,0.43193426155303244
Total War: ROME II - Emperor Edition,-1,0.6301941711312311
Totally Accurate Battlegrounds,0,0.5470040405330344
Tribes: Ascend,2,0.5051053134490711
Turbo Dismount™,-1,0.45636006867120177
Untitled Goose Game,2,0.7449712835344655
VA-11 Hall-A: Cyberpunk Bartender Action,-1,0.6519510402201726
Vampire: The Masquerade - Bloodhunt,8,0.49586691570547475
Vampire: The Masquerade - Bloodlines,9,0.7209393997823303
Vampire: The Masquerade - Coteries of New York,-1,0.6296830402572249
Viscera Cleanup Detail,25,0.740381889639569
Viscera Cleanup Detail: Shadow Warrior,25,0.6167297353644161
Waking Mars,7,0.6376867405895997
Wallpaper Engine,3,0.32124742161186676
War Thunder,6,0.6757448368031909
Warframe,9,0.7618666093892824
"Warhammer 40,000: Dawn of War II - Anniversary Edition",1,0.680954262387012
"Warhammer 40,000: Dawn of War II: Retribution",10,0.5416036136765422
"Warhammer 40,000: Gladius - Relics of War",2,0.6163569248609398
"Warhammer 40,000: Space Marine 2",5,0.7061070360477446
Warhammer: Vermintide 2,6,0.6935479642922681
"Warhammer® 40,000: Dawn of War® II Chaos Rising",-1,0.3546438317209607
Webbed,-1,0.4988676610773917
Wolfenstein II: The New Colossus,10,0.7223179093005163
Wolfenstein: The Old Blood,10,0.6775546932037363
Worms W.M.D,6,0.5709442943232206
XCOM: Enemy Unknown,0,0.71135147620359
Yakuza 3 Remastered,2,0.4837832508996538
Yakuza Kiwami 2,11,0.5793060483504638
Yu-Gi-Oh! Master Duel,-1,0.2574784101749876
Zoeti,2,0.6949443221216312
Zombie Army Trilogy,2,0.6710404818731677
Zombie Driver HD,-1,0.5527171901593992
Zup! Z,-1,0.25720057609176844
eFootball PES 2021 SEASON UPDATE,12,0.449380398133765
eFootball™,0,0.4770334707877615
eversion,4,0.608762611587286
