Cluster,MMR_Keywords,Assigned_Topic
56,"gamer, unpolish, proudest, ape, wast, scroll, day, review, ok, lick",Music
57,"soul, ok, prescenc, nobodi, tower, special, play, cleanser, depressuris, morgott",Character
58,"ubisoft, everyth, boycott, patch, requir, multiplay, suggest, rockstar, unecessari, refund",Performance
59,"pay, extrem, chines, certifi, swim, social, sensit, intern, govern, element",Score & Ranking
60,"gameplay, fastpac, got, honestli, excel, spire, deckbuild, spend, predetermin, cuz",Score & Ranking
61,"deck, requir, easi, chararact, havent, pathway, sure, unpredict, excel, semirandom",Character
62,"underground, annoy, divorc, testicl, havent, freeman, necess, biolog, baddest, relax",Performance
63,"dungeon, prick, base, break, candi, complet, nft, play, ui, wolfstay",Character
64,"realli, rate, gameplaywis, metro, jumpscar, youll, poor, excel, logist, easi",Score & Ranking
65,"music, wouldnt, ubisoft, templat, monologu, similiar, checkpoint, warsaw, honestli, gamewis",Music
66,"gameplay, remind, gladiat, chang, dialogu, sens, underr, station, traffick, encourag",Story
67,"tediou, entertain, didnt, atmospher, qunari, anymor, polish, risk, purest, sunday",Music
68,"gta, passabl, suggest, unchart, voic, multiplay, doesnt, pirat, naruto, translat",Social Experience
69,"playabl, preteen, sir, beautifuluniquefunrelax, half, coop, havent, definit, empir, needless",Social Experience
70,"duck, societi, videogam, havent, peopl, lolwat, aton, play, unfortun, hexcel",Music
71,"scam, anymor, flag, charact, fsr, cuz, start, ratio, playlist, recommand",Music
72,"tux, legend, dish, cluncki, cqc, battl, year, itll, radioact, wolf",Story
73,"deathloop, curs, middl, annoy, sure, textur, cook, famili, standoff, manga",Story
74,"battlerit, sad, babi, play, hive, hour, cartman, innov, multi, leagu",Character
75,"crunchi, humor, servic, youll, ectoplasm, unstabl, command, borderland, wick, calori",Gameplay
76,"play, realli, lock, lortespil, kinda, linear, cnt, fetch, nxt, journey",Character
77,"gameplaywis, invest, bother, ct, anybodi, fairli, rate, realist, excel, month",Character
78,"playabl, wouldnt, definetley, euro, mow, amaz, pun, consid, refund, learn",Music
79,"gta, humbl, expens, pointless, payday, wont, zombi, nope, play, peopl",Social Experience
80,"shooterstealth, linear, mostli, alot, prompt, exfiltr, uninterest, affin, wear, likeabl",Character
81,"frog, wont, play, masterpiec, detect, littl, crazi, miami, crack, someon",Performance
82,"earli, choos, roguelit, excel, half, havent, resurrect, froggi, strengthen, guitar",Music
83,"cyberpunk, astonish, excel, hike, bethesda, honest, releas, stress, everi, keyboard",Character
84,"dungeon, hypocrisi, transmit, apiec, fatiguehungerthirst, batch, vocabulari, ineffici, princip, havent",Character
85,"gtao, satisfi, polish, etc, unnecessari, stay, dlc, havent, church, weakest",Music
86,"coop, glad, funcreepi, express, hour, couch, anyon, addict, play, coupl",Social Experience
87,"play, german, satisfi, crazi, didnt, list, destruct, granbi, micro, hehe",Music
88,"gamebreak, properli, expans, excel, honest, comput, orwel, mbitss, saveload, skip",Performance
89,"gameplay, washingmachin, youll, qualiti, overwhelm, censor, tho, glitech, unlock, rememb",Character
90,"stori, doesnt, gibson, gameplay, instakil, remast, clementin, bland, run, everyth",Music
91,"littl, reflex, game, neat, metroidvania, goofi, fr, bruh, gud, make",Gameplay
92,"hacker, obligatori, refund, fact, manag, anymor, react, start, nexu, wouldnt",Performance
93,"gamepad, releas, exportimport, favourit, spawn, inabl, view, fraction, sorri, phonetablettactil",Gameplay
94,"rpg, didnt, jurass, linuxproton, underwhelm, disconnect, microtransact, anymor, display, fact",Gameplay
95,"roguelik, react, worthless, sit, wasnt, interfac, headglitch, halo, ui, devpublish",Gameplay
96,"mechan, peopl, stamina, reset, sequenc, isnt, decent, occasion, preview, mous",Music
97,"beta, deckmenu, tooltip, rippoff, phasmophobia, everi, say, select, casual, splitscreen",Character
98,"gameplay, essenc, stalwart, carddeck, hasnt, sure, excel, everincreas, minmax, easi",Score & Ranking
99,"gameplaywis, excel, capabl, skip, pathet, gladli, amd, fact, entri, enjoy",Character
100,"keyboard, properti, isnt, skip, fighter, pergam, reload, ssft, becom, medkit",Gameplay
101,"gameplay, becom, glad, passiv, tarnish, empir, catalogu, didnt, everyth, elizabeth",Character
102,"rpg, alreadi, didnt, improv, earlyish, render, dialogu, anymor, ambianc, decent",Character
103,"gameplay, glad, evenicl, upsid, expens, sure, prologu, swindl, varieti, wasnt",Character
104,"clearli, break, steamdeck, requir, concept, upgrad, beta, strategi, ui, see",Character
105,"game, smartest, citi, layer, humbl, battl, guid, liter, decent, challeng",Character
106,"odin, upgradedirect, strateg, tooltip, resolidifi, lowqual, engag, vaulter, autopilot, swayingswingingdestruct",Performance
107,"lovecraft, varieti, casual, persist, see, groundbreak, gunspetrolmatchstick, cook, coop, everyth",Social Experience
108,"rpg, necessari, hasnt, limit, automap, cheerlead, upgrad, pace, dialogu, compliment",Story
109,"rpg, necessari, lmfao, speedbump, everyon, downgrad, perform, walk, stealthbackstab, dialogu",Performance
110,"combat, suppli, havent, offer, artstyl, usag, react, everyon, tweak, unintent",Gameplay
111,"gameplay, slidingontheoppsinspaceforcingthemtocreatemymegaspaceship, aesthet, wellthey, definetley, battl, refund, warfar, sit, becam",Gameplay
112,"gameplay, glad, becom, nonogram, paus, redeploy, elabor, spend, realli, underwhelm",Character
113,"grind, terribl, becam, cursor, construct, shouldnt, area, everyon, expedit, tilelay",Character
114,"play, realli, everyth, dull, isnt, minut, gimmick, tediou, formula, dragslay",Gameplay
115,"puzzl, minimalist, combat, legit, grand, isnt, eleg, srpg, pretend, base",Character
116,"gameplay, amazingli, havent, curs, futur, sarcast, sexism, lite, ye, disneyland",Story
117,"gameplay, regularli, tast, involv, havent, indi, microtransact, compat, half, tea",Music
118,"game, majest, citi, excel, redefin, doesnt, wow, charact, chill, anymor",Character
119,"play, mechan, arent, everyth, experi, challeng, divisiontyp, highland, difficult, vibe",Music
120,"rpg, calori, cutscen, stupidest, enjoy, slog, introduct, peac, spectrum, quit",Gameplay
121,"grind, easi, blightstorm, arent, seamstress, upgrad, challeng, technic, anymor, display",Music
122,"rpg, icariu, softlock, congratul, rememb, sure, lack, versionwel, anymor, linear",Character
123,"dungeon, realist, easi, skip, chines, playabl, collect, grind, function, treesstonescopp",Character
124,"music, didnt, ubisoft, dialogu, sniper, overpr, excel, countless, laughabl, expens",Music
125,"puzzl, gameplay, necessarili, havent, optim, major, tax, alland, hardcor, start",Character
126,"faction, fantasi, rockpaperscissorsapproach, cyberpunk, underwhelm, doesnt, dozen, linear, play, determinist",Social Experience
127,"puzzl, besid, concept, gamebreak, franchis, chang, hr, children, didnt, dialogu",Gameplay
128,"rpg, autocomplet, qualiti, didnt, sit, rate, fact, upgrad, multitaskingfriendli, confid",Gameplay
129,"gameplay, coolest, poorli, wast, templar, dialogu, structur, limit, linear, batallion",Character
130,"rpg, sanctu, polishingbut, didnt, improv, trine, react, half, motiv, uboot",Gameplay
131,"combat, privat, didnt, likeabl, keybind, vocabulari, nocheckpoint, multitask, satisfi, becam",Gameplay
132,"casual, strategi, salem, requir, easi, sit, half, mean, easier, disabl",Character
133,"gameplay, everspac, honestli, complet, see, corpor, mcz, skip, add, scanner",Music
134,"unlock, sluggish, waypoint, rememb, wander, programhardwar, purchas, ocd, premis, charact",Performance
135,"dungeon, tip, simul, concept, break, involv, upgrad, thankyou, alot, checkmat",Character
136,"playtim, transport, trim, excel, workerplac, couldnt, inflationari, teach, definetli, requir",Character
137,"gameplay, paywal, stupidlysimpl, paus, asid, havent, rampag, vsync, weakest, enjoy",Performance
138,"mobi, practic, polish, cant, boringrepetit, faction, multiplay, underpow, excel, decent",Social Experience
139,"gameplay, workplac, upgrad, ok, unnecessari, chequebook, dungelot, maintain, infrastructur, array",Character
140,"gatheringcraft, penalti, quit, realli, sequenc, impress, everyth, type, youll, crater",Social Experience
141,"gameplay, goti, androidiphon, whisker, rtard, linear, everyth, spend, amaz, havent",Performance
142,"rpg, mercenari, havent, likeabl, upgrad, cheer, express, fact, racingderbi, contrast",Character
143,"rpg, settingsurround, beauti, hadnt, weakest, sequenc, stay, adrenalin, recomend, minesweeperesqu",Gameplay
144,"rpg, consciou, upgradeslevel, splashscreen, likeabl, fact, slog, optimum, didnt, crew",Gameplay
145,"rpg, necessari, showcas, keybind, principl, stay, optimis, alot, introductori, doesnt",Character
146,"rpg, pausableslowmo, didnt, mous, fact, becam, raceclass, standard, deckbuild, sequenc",Performance
147,"rpg, consequ, youll, structur, upgrad, bland, victorianedwardian, exponenti, motiv, select",Story
148,"gameplay, becom, honestli, pebbl, superweapon, excel, transit, rate, disappoint, sequenc",Score & Ranking
