Game,Top_Topics
Apex Legends™,"100 hours, 1000 hours, 20 hours, hours, 29 hours; pay win, free players, paying free, pay sadly, nothing free; well, gam well, well boy, gam, boy"
Apocalich,
Apocalypse Party,
Apotheon,
Apple Slash,
Apprehend;Girlfriend,
Apsulov: End of Gods,"space combat, galactic civilizations, subnautica, endless space, gameplay"
AquaNox,
AquaNox 2: Revelation,"gameplay, sequel, remaster, original adventures, improved"
Ara: History Untold,"city builder, base building, build, recommend, rimworld"
Aragami,"ok, fine, ok ok, ok fine, smart ok"
Arboria,"roguelike, roguelikes, roguelite, gameplay, roguelites"
Arcade Tycoon ™ : Simulation Game,"early access, gameplay approachable, early point, ea much, gameplay else"
Arcanium: Rise of Akhan,
Archmage Rises,
Archvale,
Arcus,
Ardor,"solve puzzles, adventure, puzzles, portal, puzzle"
Arise: A Simple Story,"robes nothing, three robes, robes, cosmetic pack, downloadable content"
Arizona Sunshine®,"time killer, funnny lov, funnny, fr funnny, killer; bullets reload, person shooter, innovative shooter, tactical shooter, like shooting"
Arkham Horror: Mother's Embrace,
Arma 2: Army of the Czech Republic,"en, en iyi, bir oyun, bu oyunu, hndvask"
Arma 2: Operation Arrowhead,"negative reviews, negative review, reviews buy, positive review, reviews anyway"
Arma 3,"1110 best, 1110 funny, 1110, ever 1110, 1110 sad; well, gam well, well boy, gam, boy; brilliant rpg, incredible, amazing atmosphere, amazing amazing, amazing bomb"
Arma 3 Apex,"yes, yep, yeah, yes yes, ye"
Arma 3 Creator DLC: S.O.G. Prairie Fire,"downloadable content, dlc, dlcs, season pass, content offers"
Arma 3 Creator DLC: Western Sahara,
Arma 3 Marksmen,"gg, dnt gg, gg gg, gg pk, gfhfghfgh dnt"
Arma Reforger,"robes nothing, three robes, robes, cosmetic pack, downloadable content"
Arma Tactics,
Armello,"thumb thumb, thumb, funny thumb, fingers, fingers hole; extremely addictive, addictive, pretty enjoyable, addicting, really recommend; gameplay, rpg, bad, characters, character"
Armello - The Bandit Clan,
Armillo,"tables pinball, pinball tables, pinball fx, deluxe tables, pinball"
Armored Fist 3,
Army Men,"remastered looks, remaster, remastered, remastered dont, gameplay"
Army of Ruin,
Arthurian Legends,
Artifact,"ea, valve, fortnite, ubisoft, exclusive content"
As Dusk Falls,
As Far As The Eye,"solve puzzles, adventure, puzzles, portal, puzzle"
Ascension: Deckbuilding Game,"hearthstone, deckbuilders, deck, decks, deckbuilder"
Ash of Gods: Redemption,"gameplay, rpg, bad, characters, character"
Ashes of the Singularity: Escalation,
Assassin's Creed 2,"assassins creed, ezios story, creed odyssey, creed series, assasins creed; fps classic, best ever, ever greatest, best ive, greatest; en, en iyi, bir oyun, bu oyunu, hndvask"
Assassin's Creed Freedom Cry,
Assassin's Creed Valhalla,"assassins creed, ezios story, creed odyssey, creed series, assasins creed; en, en iyi, bir oyun, bu oyunu, hndvask"
Assassin's Creed® III Remastered,"assassins creed, ezios story, creed odyssey, creed series, assasins creed; ok, fine, ok ok, ok fine, smart ok; leaderboard, global leaderboard, see leaderboard, leaderboard unlikely, leaderboard end"
Assassin's Creed® Odyssey,"assassins creed, ezios story, creed odyssey, creed series, assasins creed; keeps crashing, glitching, constantly crashes, unplayable, fps; price indie, ultimate edition, price, cost, humble bundle"
Assassin's Creed® Origins,"dark souls, kingdom hearts, infinitely replayable, replayability onetime, ride life; assassins creed, ezios story, creed odyssey, creed series, assasins creed; much gameplay, gameplay, characters, novel, ive read"
Assassin's Creed® Origins - The Hidden Ones,
Assassin's Creed® Revelations,"assassins creed, ezios story, creed odyssey, creed series, assasins creed; im addicted, addicted, actually addicted, addiction im, addiction"
Assassin's Creed® Syndicate,"assassins creed, ezios story, creed odyssey, creed series, assasins creed"
Assassin's Creed® Unity,"assassins creed, ezios story, creed odyssey, creed series, assasins creed; story mode, pilgrim saga, walking dead, narrative, observer insights"
Assassin's Creed™: Director's Cut Edition,"fps classic, best ever, ever greatest, best ive, greatest; en, en iyi, bir oyun, bu oyunu, hndvask"
Assassin’s Creed Shadows,"en, en iyi, bir oyun, bu oyunu, hndvask"
Assassin’s Creed® Brotherhood,"assassins creed, ezios story, creed odyssey, creed series, assasins creed"
Assassin’s Creed® Chronicles: India,"en, en iyi, bir oyun, bu oyunu, hndvask"
Assassin’s Creed® Chronicles: Russia,"dark souls, kingdom hearts, infinitely replayable, replayability onetime, ride life"
Assassin’s Creed® IV Black Flag™,"assassins creed, ezios story, creed odyssey, creed series, assasins creed; fps classic, best ever, ever greatest, best ive, greatest"
Assassin’s Creed® Liberation HD,"assassins creed, ezios story, creed odyssey, creed series, assasins creed"
Assassin’s Creed® Rogue,"assassins creed, ezios story, creed odyssey, creed series, assasins creed"
Assassin’s CreedⓇ Odyssey - The Fate of Atlantis,"downloadable content, dlc, dlcs, season pass, content offers"
Assassin’s CreedⓇ Odyssey – Legacy of the First Blade,"downloadable content, dlc, dlcs, season pass, content offers"
Assault Spy,
Assault on Arnhem,"combat system, move infantry, operation northwoods, strategy, combat"
Assemble with Care,
Assetto Corsa Competizione,
Astral Heroes,"hearthstone, deckbuilders, deck, decks, deckbuilder"
Astral Throne,"roguelike, roguelikes, roguelite, gameplay, roguelites"
Astray,
Astrea: Six-Sided Oracles,
Astro Colony,"city builder, base building, build, recommend, rimworld"
Astrologaster,"rpg, gameplay, adventure, buy adventure, pokemon"
Astronarch,
Asura Girls,
At Home Alone,
Atlas Reactor,
Atom Zombie Smasher,"zombie survival, kill zombies, best zombie, zombies, zombie"
Atomfall,
Atomic Heart,
Atomic Society,"city builder, base building, build, recommend, rimworld"
Atomicrops,"roguelike, roguelikes, roguelite, gameplay, roguelites"
Atrio: The Dark Wild,
Attack at Dawn: North Africa,"gameplay, warhammer, multiplayer, campaign, missions"
Attack on Titan / A.O.T. Wings of Freedom,"gooddddd, back gooddddd, back, come, come back"
Aura Kingdom,"nan, nan nan, exploding nan, nan exploding, nan darn"
Aurion: Legacy of the Kori-Odan,
Aurora Dusk: Steam Age,"city builder, base building, build, recommend, rimworld"
Auto RiskRisk,"pay win, free players, paying free, pay sadly, nothing free"
Automation - The Car Company Tycoon Game,
Autonauts,"city builder, base building, build, recommend, rimworld"
Autopanic Zero,
Autumn Dream,"horror experience, horror, psychological horror, survival horror, silent hill"
Aven Colony,"city builder, base building, build, recommend, rimworld"
Aviary Attorney,
Avorion,
Awesomenauts - the 2D moba,"pay win, free players, paying free, pay sadly, nothing free"
Axes and Acres,"city builder, base building, build, recommend, rimworld"
Axiom Verge,"metroidvania souls, metroidvania platformer, sequel metro, metroidvania, metro 2033"
Aztez,
Azure Striker Gunvolt,
BABBDI,"pay win, free players, paying free, pay sadly, nothing free"
BANG! BANG! Totally Accurate Redneck Simulator,
BATTALION: Legacy,"gameplay, warhammer, multiplayer, campaign, missions"
BATTLETECH,"best frenchise, frenchise ever, tis really, rly like, best; buy bundle, bundle buy, bundle dont, bundle worth, bundle bad"
BDSM: Big Drunk Satanic Massacre,"hogwarts come, dream hogwarts, harry potter, hogwarts, time consuming"
"BEAR, VODKA, FALL OF BERLIN! 🐻","kid named, named wheely, named snail, wheely kid, named grass"
"BEAR, VODKA, STALINGRAD! 🐻 - BALALAIKA MODE",
"BEAR, VODKA, STALINGRAD! 🐻 - STALIN MODE",
"BEAR, VODKA, STALINGRAD!🐻","kid named, named wheely, named snail, wheely kid, named grass"
"BEARS, VODKA, BALALAIKA! 🐻","kid named, named wheely, named snail, wheely kid, named grass"
BELOW,"survival genre, mode survival, fancy survival, survival, long survival"
BERSERK and the Band of the Hawk,"horrible soundtrack, soundtrack, old soundtrack, music dissapointing, murdering audio; jrpg, gameplay, undertale, persona, characters"
BIOMUTANT,"gameplay, rpg, bad, characters, character; price indie, ultimate edition, price, cost, humble bundle"
BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,"downloadable content, dlc, dlcs, season pass, content offers"
BITGUN,"zombie survival, kill zombies, best zombie, zombies, zombie"
BLACKTAIL,
BONELAB,"best vr, vr premise, vr flight, vr experience, vr environment"
BONEWORKS,"bullets reload, person shooter, innovative shooter, tactical shooter, like shooting"
BOOK OF HOURS,"much gameplay, gameplay, characters, novel, ive read"
BPM: BULLETS PER MINUTE,"robes nothing, three robes, robes, cosmetic pack, downloadable content"
BRAIN / OUT,"nan, nan nan, exploding nan, nan exploding, nan darn"
BRINK,"nan, nan nan, exploding nan, nan exploding, nan darn"
BUSTED!,
BUTCHER,"survival genre, mode survival, fancy survival, survival, long survival"
BZZZT,"esse jogo, jogo tem, desse jogo, um jogo, em termos"
Baalzebub,
Baba Is You,"solve puzzles, adventure, puzzles, portal, puzzle"
Back 4 Blood,"nan, nan nan, exploding nan, nan exploding, nan darn; combat system, move infantry, operation northwoods, strategy, combat"
Back 4 Blood Annual Pass,"nan, nan nan, exploding nan, nan exploding, nan darn"
Backfirewall_,"story mode, pilgrim saga, walking dead, narrative, observer insights"
Backpack Battles,
Backpack Hero,"roguelike, roguelikes, roguelite, gameplay, roguelites"
Backrooms: Escape Together,
Backyard Baseball '97,
Bad Guys at School,"1110 best, 1110 funny, 1110, ever 1110, 1110 sad"
Bad North: Jotunn Edition,
Bad Rats: the Rats' Revenge,"invasion byzantine, im evil, hear jerusalem, puking priest, holy warred"
Bakery Magnate: Beginning,"kid named, named wheely, named snail, wheely kid, named grass"
BalanCity,"city builder, base building, build, recommend, rimworld"
Balatro,"hearthstone, deckbuilders, deck, decks, deckbuilder; best frenchise, frenchise ever, tis really, rly like, best; ok, fine, ok ok, ok fine, smart ok"
Baldur's Gate 3,"amazing start, nice, nice nice, nice story, nice tech; well, gam well, well boy, gam, boy; hand hurts, balls hurt, hurts balls, head hurts, hurt"
Baldur's Gate II: Enhanced Edition,"fps classic, best ever, ever greatest, best ive, greatest"
Baldur's Gate: Enhanced Edition,
Balloon Flight,
Banished,"city builder, base building, build, recommend, rimworld"
Banishers: Ghosts of New Eden,"gameplay, rpg, bad, characters, character"
Banners of Ruin,
Barony,"roguelike, roguelikes, roguelite, gameplay, roguelites"
Barotrauma,"extremely addictive, addictive, pretty enjoyable, addicting, really recommend"
Barro,"negative reviews, negative review, reviews buy, positive review, reviews anyway"
Barro F,
Basement,"gameplay, rpg, bad, characters, character; cops robbers, splinter cell, robocop, gameplay, swat"
Basingstoke,"cops robbers, splinter cell, robocop, gameplay, swat"
Bastard,
Bastard Bonds,
Bastion,"amazing, incredible, fantastic, amazing amazing, magnificent"
Batman - The Telltale Series,"batman arkham, arkham series, arkham knight, arkham, arkham city; bad, bad bad, bad yea, horribly bad, bad yeah; really excellent, fantastic, excellent fantastic, excellent excellent, excellent"
Batman - The Telltale Series Shadows Mode,"downloadable content, dlc, dlcs, season pass, content offers"
Batman: Arkham Asylum Game of the Year Edition,"batman arkham, arkham series, arkham knight, arkham, arkham city; fps classic, best ever, ever greatest, best ive, greatest; well, gam well, well boy, gam, boy"
Batman: Arkham City - Game of the Year Edition,"batman arkham, arkham series, arkham knight, arkham, arkham city; gameplay, sequel, remaster, original adventures, improved; nan, nan nan, exploding nan, nan exploding, nan darn"
Batman: The Enemy Within - The Telltale Series,"batman arkham, arkham series, arkham knight, arkham, arkham city; bad, bad bad, bad yea, horribly bad, bad yeah"
Batman™: Arkham Knight,"nan, nan nan, exploding nan, nan exploding, nan darn; keeps crashing, glitching, constantly crashes, unplayable, fps; yes, yep, yeah, yes yes, ye"
Batman™: Arkham Origins,"batman arkham, arkham series, arkham knight, arkham, arkham city; well, gam well, well boy, gam, boy; nan, nan nan, exploding nan, nan exploding, nan darn"
Batora: Lost Haven,
Battle Brothers,"dark souls, soulslike, soul dark, souls, souls though"
Battle Bruise,
Battle Grid,
Battle for Blood - Epic battles within 30 seconds!,
Battle for Esturia,
Battle for Wesnoth,"pay win, free players, paying free, pay sadly, nothing free"
Battle of Empires : 1914-1918,
Battle of the Bulge,"best frenchise, frenchise ever, tis really, rly like, best"
BattleBit Remastered,"invasion byzantine, im evil, hear jerusalem, puking priest, holy warred; best coop, coop experience, coop friend, coop coop, coop; esse jogo, jogo tem, desse jogo, um jogo, em termos"
BattleCON: Online,
BattleLore: Command,
Battleborn,"nan, nan nan, exploding nan, nan exploding, nan darn"
Battlefield 1 ™ Shortcut Kit: Ultimate Bundle,
Battlefield 3™,"keeps crashing, glitching, constantly crashes, unplayable, fps; combat system, move infantry, operation northwoods, strategy, combat"
